,dataset,model,max_accuracy,mean_accuracy,std_accuracy,probing_max_acc,probing_dense_max_acc,probing_top_3,probing_dense_top_3,probing_top_layers,probing_dense_top_layers
34,IEMOCAP,HUBERT_LARGE,70.85561752319336,69.82174873352051,1.0822185252027718,67.37967729568481,72.45989441871643,65.18 (0.27),71.0 (0.28),[14 11 10],[20 24 22]
35,IEMOCAP,WAV2VEC2_ASR_LARGE_960H,69.51871514320374,67.09447383880615,2.624258930458379,66.31016135215759,68.98396015167236,63.91 (0.28),67.72 (0.16),[10 15 13],[15 14 16]
36,IEMOCAP,WAV2VEC2_BASE,65.6862735748291,64.09982204437256,1.1734941883204257,64.26025032997131,66.84492230415344,62.58 (0.23),65.16 (0.14),[9 6 7],[8 9 7]
37,IEMOCAP,WAV2VEC2_LARGE,68.0035650730133,66.70231819152832,1.3081880040778402,65.2406394481659,67.73618459701538,63.46 (0.29),66.45 (0.23),[ 7 11 20],[ 9 12  8]
38,IEMOCAP,WAV2VEC2_LARGE_XLSR,69.07308101654053,66.77361845970154,1.6591900562730728,68.80570650100708,71.7468798160553,66.11 (0.22),69.41 (0.27),[11 14  7],[14 11 13]
39,IEMOCAP,WAV2VEC2_LARGE_XLSR300M,71.1229920387268,69.16221022605896,1.1174628201796493,66.48841500282288,73.88591766357422,64.71 (0.39),71.65 (0.18),[15 18 19],[16 18 14]
40,RAVDESS,HUBERT_ASR_LARGE,74.6666669845581,72.33333349227905,1.7763891124493552,74.6666669845581,75.3333330154419,69.84 (1.38),72.02 (0.55),[13 14 12],[14 13 11]
41,RAVDESS,HUBERT_BASE,61.666667461395264,58.733333349227905,2.2449948752730933,66.33333563804626,65.66666960716248,63.82 (0.68),62.02 (1.54),[6 8 7],[9 7 8]
42,RAVDESS,HUBERT_LARGE,74.00000095367432,69.60000038146973,3.0066581528317684,72.33333587646484,76.33333206176758,69.64 (0.45),72.27 (0.24),[14 12 13],[11 13 12]
43,RAVDESS,WAV2VEC2_ASR_LARGE_960H,67.33333468437195,66.00000143051147,1.7384546025357184,71.66666388511658,70.333331823349,69.53 (0.62),67.18 (0.82),[13 14  9],[13 12  9]
44,RAVDESS,WAV2VEC2_BASE,64.66666460037231,58.999998569488525,4.366539551192883,63.999998569488525,65.3333306312561,61.51 (0.59),62.62 (0.87),[4 9 5],[ 7 10  9]
45,RAVDESS,WAV2VEC2_LARGE,68.00000071525574,64.40000057220459,2.653299638192951,73.00000190734863,73.66666793823242,70.07 (1.19),68.29 (1.02),[10 13 12],[10 16 13]
46,RAVDESS,WAV2VEC2_LARGE_XLSR,75.66666603088379,61.666667461395264,7.7028124412488195,74.6666669845581,77.66666412353516,70.56 (0.41),73.78 (0.7),[ 8 17 10],[12 14 10]
47,RAVDESS,WAV2VEC2_LARGE_XLSR300M,76.33333206176758,70.73333263397217,5.567364327080956,77.33333110809326,79.00000214576721,71.73 (0.49),75.38 (0.42),[18 19 10],[11 17 19]
48,ShEMO,HUBERT_ASR_LARGE,94.08602118492126,92.7419364452362,0.7213115629094161,93.54838728904724,93.81720423698425,92.56 (0.33),92.65 (0.09),[11 12 13],[10 13  9]
49,ShEMO,HUBERT_BASE,90.59139490127563,89.35483694076538,0.9707232723779408,91.39785170555115,91.66666865348816,90.0 (0.33),90.48 (0.59),[6 4 5],[6 5 2]
50,ShEMO,HUBERT_LARGE,91.93548560142517,91.55914187431335,0.40232836757541834,93.01075339317322,93.54838728904724,91.04 (0.18),92.22 (0.07),[11 12 13],[ 6 16 13]
51,ShEMO,WAV2VEC2_ASR_LARGE_960H,91.12903475761414,90.0,0.8568502004204627,90.59139490127563,92.20430254936218,89.55 (0.21),90.72 (0.03),[10  6  8],[4 6 7]
52,ShEMO,WAV2VEC2_BASE,91.39785170555115,90.37634372711182,0.7488401896515309,91.39785170555115,92.20430254936218,89.57 (0.31),90.45 (0.34),[4 8 6],[6 5 4]
53,ShEMO,WAV2VEC2_LARGE,91.66666865348816,90.59139728546143,0.7410797776568356,91.12903475761414,91.93548560142517,89.95 (0.45),90.7 (0.46),[6 9 7],[7 8 6]
54,ShEMO,WAV2VEC2_LARGE_XLSR,92.20430254936218,90.64516186714172,1.4163390755310392,93.27957034111023,95.16128897666931,91.85 (0.23),93.69 (0.32),[ 8 10  7],[ 9 10  7]
55,ShEMO,WAV2VEC2_LARGE_XLSR300M,93.54838728904724,93.11828017234802,0.2741405726230557,93.01075339317322,94.62365508079529,91.81 (0.07),93.55 (0.24),[19 17 14],[18 19 20]
