,dataset,model,max_accuracy,mean_accuracy,std_accuracy
0,AESDD,HUBERT_ASR_LARGE,75.36231875419617,"[47.58454114 49.27536249 53.86473238 50.24154633 55.07246256 59.90338027
 59.66183543 61.59420311 62.80193031 66.42512083 66.9082135  64.97584581
 62.07729578 69.08212304 69.08212304 62.56038547 66.18357599 66.66666865
 69.08212602 65.70048332 71.01449072 71.98067605 68.8405782  62.80193329
 68.59903336]","[1.69082135 0.         0.24154484 1.44927651 1.44927502 3.3816427
 5.07246256 3.14009488 0.48309267 0.24154782 0.24154484 3.62318754
 1.69082284 1.44927502 1.44927502 7.97101259 2.41545737 5.31401038
 3.3816427  0.96618533 1.93236768 3.3816427  0.24154484 6.7632854
 0.48308969]"
1,AESDD,HUBERT_BASE,63.76811861991882,"[45.41062862 43.71980578 50.24154633 49.03381616 51.69081986 53.62319052
 57.97101557 56.7632854  60.86956263 61.59420311 54.34782803 53.62318754
 55.07246256]","[0.96618384 0.24154633 1.93236619 7.48792142 0.96618235 1.93236768
 1.93236768 0.72463751 0.         2.17391551 1.20773017 0.96618533
 0.        ]"
2,AESDD,HUBERT_LARGE,78.2608687877655,"[45.41062713 48.30917716 53.86473387 52.6570037  55.79710007 63.5265708
 64.97584581 64.49275315 64.97584581 59.17874575 66.18357301 68.8405782
 62.80193329 70.28985322 66.18357301 73.91304374 67.63284802 63.5265708
 71.73913121 67.632851   64.97584283 67.39130318 68.59903336 71.0144937
 70.77294588]","[0.         2.89855003 5.55555373 3.86473387 3.62318754 0.24154782
 0.72463751 1.69081986 1.69082284 2.17391253 2.89855003 1.20773017
 0.96618533 0.24154484 3.86473536 4.34782505 1.44927502 3.14009786
 1.69082284 1.93236768 2.65700519 1.69081986 3.86473536 0.96618533
 0.72463751]"
3,AESDD,WAV2VEC2_ASR_LARGE_960H,77.77777910232544,"[41.78743958 47.82608747 51.93236619 56.52174056 56.52174056 52.6570037
 60.1449281  66.90821052 65.45893848 66.18357599 66.66666567 68.59903336
 65.21739066 67.14975834 66.66666567 65.94203115 65.94202816 67.14975834
 65.4589355  66.66666567 67.39130318 64.25120533 71.98067605 69.56521869
 69.80676353]","[1.20773017 1.44927502 2.17391104 3.3816427  3.3816427  6.76328391
 1.20773017 0.72463751 0.24154484 0.48309267 1.93236768 0.96618533
 0.48309267 0.96618533 4.83091772 2.17391253 5.07246554 5.31401038
 2.17391253 4.34782803 3.14009488 3.3816427  4.34782803 4.34782505
 7.97101557]"
4,AESDD,WAV2VEC2_BASE,71.49758338928223,"[41.54589325 43.2367146  47.82608747 52.65700519 53.62318754 51.69081986
 63.04347813 58.69565308 63.76811564 61.59420311 67.632851   61.35265827
 64.00966346]","[1.93236619 0.72463751 0.48309267 0.48309267 2.89855003 2.41545737
 1.69081986 1.20773017 3.86473238 2.65700519 3.86473238 2.41546035
 4.10628021]"
5,AESDD,WAV2VEC2_LARGE,72.46376872062683,"[42.51207709 54.83091772 54.58936989 60.38647294 59.66183543 55.31401038
 67.39130318 58.45410526 60.14492512 67.632851   57.97101259 63.04347813
 58.21256042 60.1449281  63.76811564 61.83574796 71.49758339 58.21256042
 61.83575094 59.66183543 55.55555522 59.42029059 65.94202816 63.28502297
 58.93719792]","[1.93236768 0.24154484 0.48309267 1.44927502 2.65700221 2.17391253
 1.20773017 4.34782803 0.72463751 1.93236768 5.31401038 6.03864491
 3.14009786 2.65700519 1.93236768 1.44927502 0.96618533 1.20772719
 3.3816427  2.17391253 0.48309267 0.48309267 5.07246554 7.24637508
 0.48308969]"
6,AESDD,WAV2VEC2_LARGE_XLSR,81.15941882133484,"[40.09661824 50.724639   53.62319052 58.21256042 55.55555522 53.14009637
 64.00966048 66.42512083 66.42512083 69.32367086 55.79710007 70.2898562
 62.56038547 76.08695626 68.59903336 63.04347813 70.53140104 50.
 69.56521571 74.63767827 74.63768125 70.04830837 47.10144997 39.37198073
 41.06280208]","[ 3.86473387  0.96618384  3.3816427   0.72463751  0.48309267  5.79710156
  3.62318754  2.65700221  1.69082284  1.20772719  0.72463751  3.14009786
  8.93719792  1.69082284  5.79710007  6.52174056 10.62801778  3.14009786
  7.24637806  4.10628021  0.24154782  5.31401038  2.65700519  0.24154633
  1.93236768]"
7,AESDD,WAV2VEC2_LARGE_XLSR300M,77.77777910232544,"[48.79226983 48.06763381 51.20772719 59.42029059 55.5555582  58.21256042
 60.1449281  64.73429799 67.14975834 59.42029059 64.49275315 67.39130318
 63.5265708  71.0144937  71.73913121 65.94202816 67.39130318 70.77294588
 72.2222209  70.2898562  72.22222388 64.25120831 70.53140104 71.0144937
 64.97584581]","[ 1.93236768  0.24154633  0.          1.93236768  0.          3.62318754
  1.69081986  0.          0.96618533  4.34782803  6.52174056  5.07246554
  6.03864789  0.96618533  3.14009786  4.10628021  5.55555522  3.62318754
  5.07246256  6.52173758  5.55555522  8.6956501   0.96618235  3.86473536
 11.35265827]"
8,CaFE,HUBERT_ASR_LARGE,82.47863054275513,"[41.66666716 52.7777791  59.18803513 59.40171182 62.60683835 59.82905924
 62.82051206 62.82051206 62.17948794 70.08547187 70.08547187 72.2222209
 69.87179518 75.21367669 78.2051295  72.2222209  71.7948705  77.13675201
 76.70940161 77.7777791  80.98290563 76.9230783  78.2051295  76.06837749
 76.4957279 ]","[3.20512801 1.49572492 0.64102709 2.99145281 3.2051295  2.99145281
 1.70940161 4.27350402 1.06837749 0.         1.70940161 0.8547008
 3.63247991 0.8547008  0.4273504  0.8547008  2.13675201 3.2051295
 5.76922894 1.70940161 0.64102411 3.41880322 2.13675201 0.8547008
 2.99145281]"
9,CaFE,HUBERT_BASE,71.79487347602844,"[44.23076957 48.29059839 47.64957279 50.21367669 46.36752158 48.50427359
 61.53846383 63.24786246 67.52136946 66.23931825 67.94871986 62.39316463
 67.52136946]","[0.2136752  0.         0.2136752  0.21367669 4.48717922 3.20512801
 4.27350402 3.84615362 2.56410241 2.99145281 3.84615362 5.12820482
 2.56410241]"
