,dataset,model,max_accuracy,mean_accuracy,std_accuracy
36,IEMOCAP,WAV2VEC2_BASE,61.31907105445862,"[52.49554515 52.36185491 54.01069522 57.2638154  57.35294223 58.64527524
 58.73440206 59.93761122 60.16042531 59.93761122 61.00713015 60.38324535
 60.69518924]","[0.3565073  0.13369024 0.17825365 0.75757504 1.02495551 0.89126527
 0.89126527 0.57932436 1.15864575 0.13369024 0.22281408 0.22281706
 0.08912683]"
37,IEMOCAP,WAV2VEC2_LARGE,65.32976627349854,"[52.98573971 55.61497211 59.22459662 60.42780876 61.63101494 62.29946315
 61.94295883 61.85383499 62.43315637 61.27451062 62.70053685 62.52228022
 63.32442164 62.78966069 63.19073141 64.61675465 63.99286985 64.03743327
 62.38859296 64.30481374 62.21033931 63.54723573 62.34402955 63.14616799
 61.80926859]","[0.04456043 0.53476095 0.22281706 0.17825365 0.22281706 0.9803921
 0.3565073  0.9803921  0.13369024 0.93582869 0.22281706 0.66844821
 1.38146281 1.02495551 1.3368994  0.71301162 0.3565073  0.66845119
 0.08912683 0.22281706 2.22816467 0.53476095 0.31194389 1.11408234
 2.71836221]"
38,IEMOCAP,WAV2VEC2_LARGE_XLSR,67.46880412101746,"[52.13903487 59.35828686 58.77896547 60.38324535 61.40819788 62.96791434
 64.26024735 66.22103453 63.8146162  64.21568692 66.31015837 66.44384861
 64.88413513 66.31016135 63.14616799 62.43315637 63.59179914 64.30481374
 62.96791434 64.75044489 64.34937716 64.70588446 45.0534761  47.63814658
 41.93404615]","[1.06951892 0.26738048 1.29233599 0.57932436 1.6042769  1.11408234
 1.24777257 0.08912683 0.53476095 0.22281706 1.15864575 0.57932138
 0.53475797 0.44563413 0.40106773 1.47058666 0.40107071 2.54010856
 1.20320916 0.49019456 0.62388778 0.08912683 0.13369024 1.47058815
 2.71835923]"
39,IEMOCAP,WAV2VEC2_LARGE_XLSR300M,65.95365405082703,"[51.47058964 58.33333433 58.8680923  61.80926859 62.29946613 65.01782537
 63.72548938 64.1711235  62.38859296 61.45276129 62.38859296 61.72014475
 63.45811188 63.77005279 63.85917962 62.47771978 64.66132104 63.99286985
 65.24064243 63.32442164 64.1711235  62.34402657 63.72549236 61.63101792
 61.80926859]","[0.49019456 0.31194389 0.93582869 1.29233301 0.08912683 0.66844821
 1.6042769  0.17825365 1.42602324 0.31194389 0.44563413 0.93582869
 1.24777257 1.64884031 1.38145983 0.17825365 0.22281706 0.80214143
 0.71301162 0.93582869 0.53476095 1.11408234 0.80213845 1.29233599
 0.40107071]"
40,RAVDESS,HUBERT_ASR_LARGE,72.66666889190674,"[46.99999988 53.16666663 56.16666675 60.50000191 60.50000191 61.33333445
 63.0000025  61.50000095 64.33333158 64.50000107 60.33333242 63.49999905
 64.16666806 69.49999928 67.99999774 67.33333468 68.00000072 65.1666671
 69.99999881 66.50000215 70.83333135 68.33333373 69.00000274 65.83333313
 68.33333373]","[2.6666671  1.16666853 1.49999857 0.49999952 0.49999952 0.99999905
 3.33333313 4.16666865 0.33333302 1.16666853 3.00000012 1.49999857
 1.83333457 1.16666555 2.6666671  5.33333421 1.99999809 5.16666472
 1.66666508 5.83333373 0.83333254 0.         3.00000012 1.16666853
 0.33333302]"
41,RAVDESS,HUBERT_BASE,56.99999928474426,"[47.3333329  50.49999952 50.33333153 49.33333248 49.33333248 50.50000101
 52.33333111 51.33333206 52.66666412 52.83333361 55.00000119 55.83333373
 56.33333325]","[0.         0.16666651 2.3333326  1.33333355 1.66666657 2.8333351
 0.66666603 0.         0.         0.5000025  0.99999905 1.16666555
 0.66666603]"
42,RAVDESS,HUBERT_LARGE,68.66666674613953,"[47.16666639 54.16666567 55.1666677  56.99999928 62.5        57.16666579
 60.83333492 62.00000048 59.33333337 60.16666591 56.16666675 62.5
 63.49999905 62.66666651 62.33333349 66.49999917 68.33333373 64.66666758
 61.00000143 61.33333147 66.50000215 62.66666651 66.66666567 63.99999857
 64.83333409]","[0.49999952 1.83333457 0.16666651 4.00000215 1.16666555 0.16666651
 0.49999952 1.66666508 0.333336   2.16666758 2.83333063 0.83333254
 0.16666651 0.66666603 3.66666913 1.16666853 0.         2.00000107
 0.66666603 3.99999917 0.16666651 0.66666603 2.00000107 4.66666818
 0.83333552]"
43,RAVDESS,WAV2VEC2_ASR_LARGE_960H,69.9999988079071,"[51.16666853 57.49999881 58.83333087 59.49999988 59.9999994  63.33333254
 64.16666806 66.49999917 67.83333421 66.66666865 67.00000167 66.16666913
 66.16666913 68.99999976 68.00000072 67.33333468 66.83333516 68.66666675
 67.83333421 66.50000215 68.99999976 67.00000167 66.66666567 65.16666412
 65.66666663]","[2.16666758 1.16666555 0.16666651 1.16666853 1.66666806 1.66666508
 2.16666758 2.5000006  0.16666651 0.33333302 0.66666603 0.49999952
 0.16666651 0.66666603 0.66666603 0.         0.83333254 1.33333206
 0.16666651 0.83333254 0.66666603 0.66666603 1.33333504 0.16666651
 0.66666901]"
44,RAVDESS,WAV2VEC2_BASE,62.00000047683716,"[47.16666639 48.83333296 51.16666704 52.33333409 56.49999976 59.16666687
 58.66666734 58.16666484 59.8333329  58.33333433 58.83333385 58.66666734
 58.83333087]","[3.49999964 2.49999911 2.8333351  1.00000203 1.83333158 0.5000025
 3.33333313 0.49999952 2.16666758 1.33333504 0.83333552 1.00000203
 0.16666651]"
45,RAVDESS,WAV2VEC2_LARGE,70.6666648387909,"[54.66666818 57.16666579 55.00000119 56.49999976 59.49999988 62.5
 65.0000006  61.66666448 65.83333313 63.99999857 65.33333361 63.49999905
 68.33333373 64.66666758 64.83333409 68.83333325 65.33333361 67.33333468
 64.16666508 64.50000107 65.1666671  64.66666758 65.33333361 64.33333158
 64.83333409]","[0.33333302 0.83333254 1.66666508 2.49999762 1.50000155 2.1666646
 0.66666901 3.66666615 0.5000025  0.99999905 0.333336   0.83333254
 1.33333206 3.00000012 1.83333457 1.83333158 0.66666901 0.99999905
 0.83333254 1.16666853 1.50000155 1.66666806 1.66666806 0.
 2.16666758]"
