,dataset,model,layers,mean_accuracy,mean_weights
24,AESDD,HUBERT_ASR_LARGE,24,68.59903335571289,"[0.03418743 0.03522203 0.03782232 0.04019649 0.04133603 0.04203098
 0.0429161  0.04272864 0.04236523 0.04208304 0.04276128 0.04295996
 0.04368416 0.04336854 0.04167983 0.04117376 0.0404532  0.03990678
 0.03964088 0.03956744 0.03827656 0.03726828 0.03685579 0.03620372
 0.03531152]"
25,AESDD,HUBERT_BASE,0,45.410628616809845,[array([1.])]
26,AESDD,HUBERT_BASE,1,43.71980577707291,[0.56218779 0.43781224]
27,AESDD,HUBERT_BASE,2,50.24154633283615,[0.36642675 0.30741552 0.32615775]
28,AESDD,HUBERT_BASE,3,49.033816158771515,[0.26478988 0.22767984 0.25544688 0.25208338]
29,AESDD,HUBERT_BASE,4,51.6908198595047,[0.20517633 0.17497326 0.20602683 0.21307897 0.20074464]
30,AESDD,HUBERT_BASE,5,53.62319052219391,[0.16907874 0.14086463 0.16871578 0.17948876 0.1733481  0.16850405]
31,AESDD,HUBERT_BASE,6,57.97101557254791,"[0.14420946 0.11977925 0.14194153 0.15230799 0.14966221 0.14988395
 0.14221564]"
32,AESDD,HUBERT_BASE,7,56.763285398483276,"[0.12493484 0.10415858 0.12248661 0.13242598 0.13219724 0.13482223
 0.129779   0.11919552]"
33,AESDD,HUBERT_BASE,8,60.86956262588501,"[0.11065487 0.09258926 0.10697259 0.11521013 0.11607142 0.12018563
 0.11840263 0.11316155 0.1067519 ]"
34,AESDD,HUBERT_BASE,9,61.59420311450958,"[0.10076757 0.08211261 0.09364897 0.10146117 0.10355507 0.10800011
 0.10781002 0.1055123  0.10063311 0.0964991 ]"
35,AESDD,HUBERT_BASE,10,54.34782803058624,"[0.09166566 0.07444372 0.0844831  0.09033931 0.09249693 0.09556823
 0.09778337 0.09605002 0.092423   0.09226736 0.09247929]"
36,AESDD,HUBERT_BASE,11,53.62318754196167,"[0.08454672 0.06781543 0.07578848 0.0816034  0.08397942 0.08594951
 0.09122216 0.08904994 0.08502163 0.08589678 0.08736349 0.08176303]"
37,AESDD,HUBERT_BASE,12,55.07246255874634,"[0.07853558 0.06324977 0.07025829 0.07467049 0.07564943 0.07871378
 0.08200458 0.08052376 0.07752639 0.07858492 0.08112754 0.07956533
 0.07959012]"
38,AESDD,HUBERT_LARGE,0,45.410627126693726,[array([1.])]
39,AESDD,HUBERT_LARGE,1,48.30917716026306,[0.39279252 0.60720751]
40,AESDD,HUBERT_LARGE,2,53.86473387479782,[0.27173586 0.3162697  0.41199446]
41,AESDD,HUBERT_LARGE,3,52.657003700733185,[0.21403347 0.21463708 0.28096226 0.29036719]
42,AESDD,HUBERT_LARGE,4,55.79710006713867,[0.17168513 0.16753384 0.20299388 0.22997382 0.22781336]
43,AESDD,HUBERT_LARGE,5,63.52657079696655,[0.14480529 0.14150007 0.1516249  0.18888587 0.1881202  0.18506368]
44,AESDD,HUBERT_LARGE,6,64.97584581375122,"[0.12647992 0.12380458 0.12568181 0.15558587 0.15671061 0.15556578
 0.15617138]"
45,AESDD,HUBERT_LARGE,7,64.49275314807892,"[0.10971934 0.10771737 0.10945491 0.13496486 0.13614263 0.13526348
 0.13656774 0.13016965]"
46,AESDD,HUBERT_LARGE,8,64.97584581375122,"[0.09788424 0.09697301 0.09797178 0.11437559 0.11785794 0.11922657
 0.12175518 0.11679938 0.1171563 ]"
47,AESDD,HUBERT_LARGE,9,59.17874574661255,"[0.08918146 0.08742374 0.0875578  0.1005864  0.10490809 0.10577974
 0.10839456 0.10517433 0.10893863 0.10205521]"
48,AESDD,HUBERT_LARGE,10,66.18357300758362,"[0.08103894 0.0800172  0.08056368 0.08829666 0.09350854 0.09549838
 0.09838236 0.09632535 0.09868066 0.09437682 0.09331141]"
49,AESDD,HUBERT_LARGE,11,68.84057819843292,"[0.07300815 0.07231626 0.07273531 0.07948522 0.08535051 0.08834215
 0.09086856 0.08791956 0.09044838 0.08707042 0.08854461 0.08391085]"
50,AESDD,HUBERT_LARGE,12,62.80193328857422,"[0.06672409 0.06649143 0.06696963 0.07201181 0.0760666  0.07971314
 0.08393447 0.08127548 0.08408496 0.08141161 0.08340833 0.08061148
 0.07729697]"
51,AESDD,HUBERT_LARGE,13,70.28985321521759,"[0.06309877 0.06252261 0.06304852 0.06636521 0.06954481 0.07272315
 0.07652893 0.07481138 0.07653384 0.07618469 0.07777403 0.07649374
 0.07390851 0.07046181]"
52,AESDD,HUBERT_LARGE,14,66.18357300758362,"[0.05936234 0.05932304 0.05979731 0.06271603 0.06520193 0.0676174
 0.07056312 0.06963728 0.07021261 0.06991167 0.07224166 0.07148868
 0.07025477 0.06737681 0.06429536]"
53,AESDD,HUBERT_LARGE,15,73.9130437374115,"[0.05500085 0.0546268  0.05514067 0.05835231 0.06095822 0.06380926
 0.06768802 0.06582278 0.06654972 0.06603323 0.06829096 0.06792059
 0.06715412 0.06378144 0.06027289 0.05859811]"
54,AESDD,HUBERT_LARGE,16,67.63284802436829,"[0.05258335 0.05202363 0.05241562 0.05560892 0.05778307 0.06011133
 0.06312574 0.06196348 0.06223257 0.06180898 0.06373547 0.06337062
 0.06361644 0.06038655 0.05753722 0.05608995 0.05560706]"
55,AESDD,HUBERT_LARGE,17,63.52657079696655,"[0.04887553 0.04843443 0.04864535 0.05300501 0.05507588 0.05696078
 0.05998868 0.05878261 0.05931024 0.05895346 0.06091112 0.06053437
 0.06235391 0.05788479 0.05426811 0.05263007 0.05204884 0.05133679]"
56,AESDD,HUBERT_LARGE,18,71.7391312122345,"[0.04696643 0.04695831 0.04704838 0.04949527 0.05131887 0.05296276
 0.05571527 0.05534381 0.05545679 0.05507844 0.05687544 0.05691578
 0.05823519 0.05620068 0.05304664 0.05126879 0.05068283 0.05024654
 0.05018385]"
57,AESDD,HUBERT_LARGE,19,67.63285100460052,"[0.04400868 0.04414462 0.04464851 0.04757286 0.04897237 0.05049166
 0.0532584  0.05291744 0.05270219 0.05272033 0.05495526 0.05515555
 0.05574984 0.05425435 0.05070512 0.04843567 0.04757738 0.04716498
 0.04726031 0.04730455]"
58,AESDD,HUBERT_LARGE,20,64.97584283351898,"[0.04268071 0.04234137 0.04274851 0.04518019 0.04639587 0.04759189
 0.04980337 0.04989132 0.0497792  0.04962794 0.05202909 0.05275278
 0.05428336 0.05131538 0.04811586 0.04659203 0.0459677  0.04553766
 0.0457492  0.04597785 0.04563871]"
59,AESDD,HUBERT_LARGE,21,67.39130318164825,"[0.04074807 0.04029315 0.04109074 0.04327563 0.04438179 0.04523448
 0.04739245 0.04762236 0.04749618 0.04749001 0.04990674 0.05134091
 0.05141566 0.04912162 0.04610285 0.04451988 0.043903   0.04369787
 0.04371566 0.04364047 0.04342101 0.04418947]"
60,AESDD,HUBERT_LARGE,22,68.59903335571289,"[0.0386815  0.03841283 0.03963624 0.04164026 0.04239522 0.04309082
 0.04479071 0.04505539 0.0447059  0.04474694 0.04708023 0.04827601
 0.04930305 0.04844896 0.04552201 0.04321692 0.04238154 0.04192081
 0.04206923 0.04192563 0.04189554 0.04233758 0.04246666]"
61,AESDD,HUBERT_LARGE,23,71.01449370384216,"[0.03793032 0.0373348  0.03806774 0.03946923 0.04009271 0.04053047
 0.04194499 0.0424762  0.04228655 0.04251287 0.04470313 0.04587172
 0.04691968 0.04514726 0.04366318 0.0413608  0.04044499 0.04024473
 0.04048529 0.04064202 0.04057747 0.04135711 0.04175657 0.04418019]"
62,AESDD,HUBERT_LARGE,24,70.77294588088989,"[0.03697291 0.03677046 0.03725444 0.03829632 0.03866402 0.03871616
 0.03956172 0.04014626 0.04014044 0.04022642 0.04193015 0.04273874
 0.04336706 0.0425593  0.04091862 0.03970866 0.03847911 0.03849211
 0.0386935  0.03891587 0.03899118 0.04007862 0.04084659 0.04323679
 0.04429455]"
63,AESDD,WAV2VEC2_ASR_LARGE_960H,0,41.787439584732056,[array([1.])]
64,AESDD,WAV2VEC2_ASR_LARGE_960H,1,47.826087474823,[0.41005602 0.58994398]
65,AESDD,WAV2VEC2_ASR_LARGE_960H,2,51.93236619234085,[0.27460773 0.34227242 0.38311987]
66,AESDD,WAV2VEC2_ASR_LARGE_960H,3,56.521740555763245,[0.21167346 0.22887126 0.27637133 0.28308395]
67,AESDD,WAV2VEC2_ASR_LARGE_960H,4,56.521740555763245,[0.16810589 0.16988326 0.2040747  0.22448273 0.23345347]
68,AESDD,WAV2VEC2_ASR_LARGE_960H,5,52.657003700733185,[0.14236706 0.13914593 0.15715135 0.18266664 0.19247767 0.18619137]
69,AESDD,WAV2VEC2_ASR_LARGE_960H,6,60.144928097724915,"[0.12284704 0.11876471 0.11984002 0.1492954  0.1602392  0.16122263
 0.16779096]"
70,AESDD,WAV2VEC2_ASR_LARGE_960H,7,66.90821051597595,"[0.10862269 0.10228539 0.10160711 0.11869635 0.13537206 0.13688403
 0.14828122 0.14825113]"
71,AESDD,WAV2VEC2_ASR_LARGE_960H,8,65.45893847942352,"[0.09476651 0.0927564  0.0889684  0.09948309 0.11963359 0.12094384
 0.1315671  0.13093806 0.12094302]"
72,AESDD,WAV2VEC2_ASR_LARGE_960H,9,66.18357598781586,"[0.08679446 0.0847724  0.08182283 0.08855621 0.10638635 0.10787292
 0.11828405 0.11681699 0.1133811  0.09531266]"
73,AESDD,WAV2VEC2_ASR_LARGE_960H,10,66.66666567325592,"[0.07838957 0.07822694 0.07536601 0.07899123 0.09570733 0.09864663
 0.10680959 0.10549754 0.10116136 0.09645649 0.08474728]"
74,AESDD,WAV2VEC2_ASR_LARGE_960H,11,68.59903335571289,"[0.07097342 0.07133908 0.06876784 0.07411386 0.08728039 0.0901448
 0.0984843  0.0985736  0.09222505 0.09131776 0.08469742 0.07208251]"
75,AESDD,WAV2VEC2_ASR_LARGE_960H,12,65.21739065647125,"[0.06553767 0.06663828 0.06420624 0.06852743 0.0791671  0.08119266
 0.09123553 0.09139269 0.08563415 0.08575678 0.08160051 0.07046439
 0.06864659]"
76,AESDD,WAV2VEC2_ASR_LARGE_960H,13,67.14975833892822,"[0.06048532 0.06207042 0.06070812 0.06529489 0.07382751 0.07553248
 0.08434562 0.08496729 0.08048579 0.0811314  0.08056464 0.06579273
 0.06409295 0.06070087]"
77,AESDD,WAV2VEC2_ASR_LARGE_960H,14,66.66666567325592,"[0.05543394 0.05814095 0.05698742 0.06133455 0.06870901 0.07035204
 0.07977858 0.08024348 0.07737853 0.07407445 0.07597493 0.06310203
 0.06149143 0.05852981 0.05846885]"
78,AESDD,WAV2VEC2_ASR_LARGE_960H,15,65.94203114509583,"[0.05098452 0.05517181 0.05329563 0.05788236 0.06440119 0.06604872
 0.07489246 0.07512051 0.07346445 0.07115696 0.07293786 0.06010071
 0.05777995 0.05556777 0.05606498 0.05513012]"
79,AESDD,WAV2VEC2_ASR_LARGE_960H,16,65.94202816486359,"[0.04780351 0.05177933 0.05084174 0.05564122 0.0606316  0.06228291
 0.07105039 0.0717316  0.06921038 0.06653413 0.06908777 0.057329
 0.05456226 0.05258865 0.05326093 0.05334042 0.05232422]"
80,AESDD,WAV2VEC2_ASR_LARGE_960H,17,67.14975833892822,"[0.04583724 0.04989848 0.04885022 0.05370853 0.05779789 0.05923609
 0.06715431 0.06757382 0.06570709 0.06405818 0.0655598  0.05446479
 0.05171423 0.05001575 0.05066022 0.05097163 0.05039495 0.04639673]"
81,AESDD,WAV2VEC2_ASR_LARGE_960H,18,65.45893549919128,"[0.04270536 0.04778353 0.04700475 0.0523886  0.05597308 0.05681763
 0.06439273 0.06448552 0.06320847 0.06065374 0.06241119 0.0522295
 0.04934862 0.04708428 0.04814992 0.0476796  0.0475016  0.04541161
 0.04477032]"
82,AESDD,WAV2VEC2_ASR_LARGE_960H,19,66.66666567325592,"[0.04101449 0.04587836 0.04551283 0.05031485 0.05465212 0.05489219
 0.06159844 0.06133377 0.05948946 0.05772755 0.05950385 0.05099212
 0.04733452 0.04543451 0.04640582 0.04631606 0.04511026 0.04220819
 0.04221877 0.04206185]"
83,AESDD,WAV2VEC2_ASR_LARGE_960H,20,67.39130318164825,"[0.03865727 0.04428825 0.04496843 0.0487499  0.05213192 0.05267942
 0.05881001 0.0588943  0.05784636 0.05453186 0.0570542  0.04893261
 0.04589185 0.04396891 0.04433069 0.04493741 0.0433449  0.04041929
 0.040303   0.04055136 0.03870813]"
84,AESDD,WAV2VEC2_ASR_LARGE_960H,21,64.25120532512665,"[0.03620723 0.04220594 0.0434994  0.0469752  0.04974652 0.05003256
 0.05590597 0.05599474 0.054898   0.05349123 0.05442298 0.04894949
 0.04421771 0.04205993 0.04321129 0.04483686 0.04191972 0.03890036
 0.03873421 0.03935745 0.03786237 0.03657085]"
85,AESDD,WAV2VEC2_ASR_LARGE_960H,22,71.98067605495453,"[0.03501306 0.04096718 0.04266096 0.04585152 0.04821727 0.04909554
 0.05344315 0.05395621 0.05317833 0.05191285 0.05217222 0.04870494
 0.04339586 0.04115604 0.04144368 0.04217584 0.03954011 0.03705137
 0.03706979 0.03699124 0.03560505 0.03522285 0.03517497]"
86,AESDD,WAV2VEC2_ASR_LARGE_960H,23,69.5652186870575,"[0.0330933  0.0394226  0.04139761 0.04416188 0.04645864 0.04686328
 0.05070804 0.05119753 0.05049711 0.04968098 0.05049581 0.04773076
 0.04262151 0.04038153 0.03985811 0.04187377 0.03892315 0.03582816
 0.03551795 0.03552569 0.03417144 0.03405006 0.03439478 0.03514632]"
87,AESDD,WAV2VEC2_ASR_LARGE_960H,24,69.80676352977753,"[0.03268867 0.03804066 0.03970949 0.04243678 0.04438164 0.04486149
 0.04874264 0.04946424 0.04912101 0.04809826 0.04809537 0.04589042
 0.04140562 0.0401242  0.0395816  0.04190099 0.03865553 0.03510935
 0.03354096 0.03333941 0.03214871 0.03235898 0.0326138  0.03323714
 0.03445301]"
88,AESDD,WAV2VEC2_BASE,0,41.545893251895905,[array([1.])]
89,AESDD,WAV2VEC2_BASE,1,43.236714601516724,[0.51293465 0.48706535]
90,AESDD,WAV2VEC2_BASE,2,47.826087474823,[0.32464291 0.3332023  0.34215479]
91,AESDD,WAV2VEC2_BASE,3,52.657005190849304,[0.2334776  0.23996767 0.25655207 0.27000266]
92,AESDD,WAV2VEC2_BASE,4,53.62318754196167,[0.18711036 0.18331666 0.19866613 0.21668553 0.21422129]
93,AESDD,WAV2VEC2_BASE,5,51.6908198595047,[0.1536411  0.14633414 0.16004615 0.17777762 0.1813989  0.18080214]
94,AESDD,WAV2VEC2_BASE,6,63.04347813129425,"[0.13201111 0.12199477 0.13103252 0.14821219 0.15448366 0.15655142
 0.15571432]"
95,AESDD,WAV2VEC2_BASE,7,58.69565308094025,"[0.11514153 0.10509255 0.11229621 0.12752292 0.13393067 0.13755948
 0.14005213 0.12840449]"
96,AESDD,WAV2VEC2_BASE,8,63.768115639686584,"[0.10343229 0.09287363 0.09871444 0.10930156 0.11789235 0.1225698
 0.12547902 0.11633281 0.11340414]"
97,AESDD,WAV2VEC2_BASE,9,61.59420311450958,"[0.09347754 0.0846822  0.08913825 0.09841229 0.1055088  0.10987351
 0.11347901 0.10529228 0.10283687 0.09729921]"
98,AESDD,WAV2VEC2_BASE,10,67.63285100460052,"[0.08604714 0.07642346 0.08104379 0.08950086 0.09677092 0.10123365
 0.10379234 0.09657243 0.09447514 0.09224324 0.08189701]"
99,AESDD,WAV2VEC2_BASE,11,61.35265827178955,"[0.07961704 0.07133493 0.07623642 0.08464818 0.09126936 0.09478878
 0.09701928 0.09048339 0.08877293 0.08656877 0.07445578 0.06480516]"
100,AESDD,WAV2VEC2_BASE,12,64.00966346263885,"[0.0733594  0.06515359 0.06977213 0.07826615 0.08361168 0.08935414
 0.09138937 0.08559931 0.08243736 0.08072355 0.06880259 0.0599856
 0.07154514]"
101,AESDD,WAV2VEC2_LARGE,0,42.51207709312439,[array([1.])]
102,AESDD,WAV2VEC2_LARGE,1,54.830917716026306,[0.40744264 0.59255737]
103,AESDD,WAV2VEC2_LARGE,2,54.589369893074036,[0.26700257 0.3492523  0.38374516]
104,AESDD,WAV2VEC2_LARGE,3,60.386472940444946,[0.19910765 0.23605483 0.27309573 0.29174177]
105,AESDD,WAV2VEC2_LARGE,4,59.66183543205261,[0.15833925 0.17820814 0.20666294 0.23134679 0.22544293]
106,AESDD,WAV2VEC2_LARGE,5,55.31401038169861,[0.13427359 0.14392336 0.16268668 0.18986479 0.18426386 0.18498772]
107,AESDD,WAV2VEC2_LARGE,6,67.39130318164825,"[0.11678598 0.12219087 0.12888688 0.15463747 0.15449782 0.16285562
 0.16014532]"
108,AESDD,WAV2VEC2_LARGE,7,58.454105257987976,"[0.10360986 0.1056684  0.10580949 0.12672387 0.13399029 0.14449777
 0.14418191 0.13551837]"
109,AESDD,WAV2VEC2_LARGE,8,60.144925117492676,"[0.09130647 0.09398505 0.09158346 0.108718   0.11657735 0.12807268
 0.12974686 0.1275161  0.11249399]"
110,AESDD,WAV2VEC2_LARGE,9,67.63285100460052,"[0.08292053 0.08480015 0.08077873 0.09277178 0.10232353 0.11473648
 0.11623366 0.11611915 0.11351724 0.09579873]"
111,AESDD,WAV2VEC2_LARGE,10,57.971012592315674,"[0.0759653  0.07762176 0.07356128 0.08274626 0.09206802 0.10328978
 0.10549436 0.10539513 0.10346579 0.09981167 0.08058067]"
112,AESDD,WAV2VEC2_LARGE,11,63.04347813129425,"[0.06910562 0.07144432 0.06706864 0.07503279 0.08369796 0.09399045
 0.09566959 0.09810488 0.09718848 0.09426341 0.08136163 0.07307222]"
113,AESDD,WAV2VEC2_LARGE,12,58.212560415267944,"[0.06352518 0.06614582 0.06161272 0.0683236  0.0773028  0.08666363
 0.08846729 0.0901924  0.08802724 0.08760929 0.08296966 0.07205712
 0.06710325]"
114,AESDD,WAV2VEC2_LARGE,13,60.144928097724915,"[0.05878491 0.06131919 0.05726049 0.06366316 0.07221203 0.08063796
 0.08316632 0.08421455 0.08168557 0.08236523 0.07971041 0.07062445
 0.06421046 0.06014533]"
115,AESDD,WAV2VEC2_LARGE,14,63.768115639686584,"[0.05472825 0.05762077 0.05272527 0.05890994 0.0680491  0.07563366
 0.07832165 0.07995179 0.07651258 0.07569825 0.07174309 0.06892058
 0.06091888 0.05928703 0.06097918]"
116,AESDD,WAV2VEC2_LARGE,15,61.835747957229614,"[0.05103666 0.05334079 0.04883749 0.05417985 0.06189546 0.06809377
 0.07067196 0.0735478  0.07134857 0.07029901 0.06657242 0.06746822
 0.06035104 0.06028293 0.06167594 0.06039811]"
117,AESDD,WAV2VEC2_LARGE,16,71.49758338928223,"[0.04724104 0.04987564 0.04646425 0.05090812 0.05709019 0.06368329
 0.06639674 0.06872656 0.06661212 0.06380785 0.06146691 0.06126532
 0.05573869 0.05789878 0.05912591 0.06039817 0.06330041]"
118,AESDD,WAV2VEC2_LARGE,17,58.212560415267944,"[0.04477708 0.04678489 0.04433233 0.04764885 0.05319288 0.05996736
 0.06176982 0.06473579 0.06278599 0.05948348 0.05760641 0.05688795
 0.05181809 0.05331967 0.0562867  0.05794999 0.06320972 0.05744302]"
119,AESDD,WAV2VEC2_LARGE,18,61.83575093746185,"[0.04244468 0.0440839  0.04189062 0.04479109 0.04950012 0.05541206
 0.05712034 0.06083113 0.0590551  0.05465097 0.05420711 0.05301635
 0.04850055 0.05072323 0.05343743 0.05551574 0.0596943  0.05989937
 0.05522591]"
120,AESDD,WAV2VEC2_LARGE,19,59.66183543205261,"[0.03979285 0.04162175 0.04046635 0.04197509 0.04666932 0.05042333
 0.0537101  0.05702048 0.05571011 0.05246674 0.05175769 0.04826106
 0.04560484 0.04759247 0.05062537 0.05234553 0.05670565 0.0587512
 0.05812977 0.05037029]"
121,AESDD,WAV2VEC2_LARGE,20,55.55555522441864,"[0.03810504 0.04031474 0.03857182 0.03983358 0.04437919 0.04810113
 0.05077121 0.05483397 0.05266007 0.04920462 0.04835496 0.04516115
 0.04349419 0.04454659 0.0478653  0.0492027  0.05442713 0.05579045
 0.05666815 0.05250126 0.04521278]"
122,AESDD,WAV2VEC2_LARGE,21,59.42029058933258,"[0.03652946 0.03877741 0.03691728 0.03916497 0.04181004 0.04620103
 0.04776914 0.05127359 0.04973738 0.04645839 0.04725278 0.04470856
 0.0418401  0.0429769  0.04578282 0.04759511 0.05242622 0.0524141
 0.05320043 0.05127971 0.04573311 0.04015143]"
