,model,dataset,layers,center_of_gravity,expected_layer,differential_score,mixing_weight
39,WAV2VEC2_LARGE_XLSR300M,IEMOCAP,25,12.992892765440047,-1.2456924520442711,"[ 6.86274469  0.53475797  2.9411763   0.49019754  2.71835923 -1.29233599
  0.44563413 -1.78253055 -0.93583167  0.93583167 -0.66844821  1.73796713
  0.31194091  0.08912683 -1.38145983  2.18360126 -0.66845119  1.24777257
 -1.91622078  0.84670186 -1.82709694  1.38146579 -2.09447443  0.17825067]","[0.01825324 0.0189069  0.01535004 0.02294486 0.0230333  0.03174636
 0.03527508 0.04005634 0.04644015 0.0557813  0.04584869 0.03937535
 0.04106168 0.04842538 0.05329265 0.04628501 0.04516172 0.07250354
 0.13221733 0.05371082 0.03382641 0.04128186 0.01198322 0.01264301
 0.01459574]"
40,HUBERT_ASR_LARGE,RAVDESS,25,12.231877415440977,5.226562418145479,"[ 6.16666675  3.00000012  4.33333516  0.          0.83333254  1.66666806
 -1.50000155  2.83333063  0.16666949 -4.16666865  3.16666663  0.66666901
  5.33333123 -1.50000155 -0.66666305  0.66666603 -2.83333361  4.8333317
 -3.49999666  4.3333292  -2.49999762  0.66666901 -3.16666961  2.5000006 ]","[0.02651794 0.02698096 0.03091569 0.03648537 0.03863795 0.03919141
 0.04126142 0.0417736  0.04024125 0.04072102 0.04542273 0.04714668
 0.04958146 0.05217309 0.05162714 0.04676398 0.04310423 0.04224798
 0.04260525 0.04320571 0.04065285 0.03679539 0.03380281 0.03217789
 0.02996622]"
41,HUBERT_BASE,RAVDESS,13,6.452248837798834,6.518518996827377,"[ 3.16666663 -0.166668   -0.99999905  0.          1.16666853  1.83333009
 -0.99999905  1.33333206  0.16666949  2.16666758  0.83333254  0.49999952]","[0.09445054 0.04631292 0.05826741 0.06168526 0.0648854  0.06851025
 0.0749907  0.08296556 0.08898578 0.0897618  0.09867396 0.08105708
 0.08945328]"
42,HUBERT_LARGE,RAVDESS,25,12.87573432084173,5.188680066464798,"[ 6.99999928  1.00000203  1.83333158  5.50000072 -5.33333421  3.66666913
  1.16666555 -2.6666671   0.83333254 -3.99999917  6.33333325  0.99999905
 -0.83333254 -0.33333302  4.16666567  1.83333457 -3.66666615 -3.66666615
  0.33333004  5.16667068 -3.83333564  3.99999917 -2.6666671   0.83333552]","[0.02975935 0.02861183 0.03065342 0.03407083 0.03592345 0.03601957
 0.03791927 0.03779542 0.03666458 0.03630991 0.04120797 0.04471946
 0.04927596 0.04864935 0.04497413 0.03904105 0.03735204 0.03621225
 0.03783481 0.04081643 0.04167594 0.0424115  0.04035343 0.05904737
 0.05270069]"
43,WAV2VEC2_ASR_LARGE_960H,RAVDESS,25,10.821492631919682,1.3218384047986267,"[ 6.33333027  1.33333206  0.66666901  0.49999952  3.33333313  0.83333552
  2.33333111  1.33333504 -1.16666555  0.33333302 -0.83333254  0.
  2.83333063 -0.99999905 -0.66666603 -0.49999952  1.83333158 -0.83333254
 -1.33333206  2.49999762 -1.99999809 -0.333336   -1.50000155  0.5000025 ]","[0.01873124 0.02479705 0.02711316 0.03319634 0.04382602 0.05436425
 0.06026598 0.06403587 0.07514799 0.06920047 0.06748155 0.05714481
 0.05034782 0.04318113 0.04494284 0.04750253 0.03440619 0.02601543
 0.01911237 0.01947186 0.0206404  0.02372229 0.02469538 0.02554662
 0.02511037]"
44,WAV2VEC2_BASE,RAVDESS,13,5.772357448935509,3.2857122786187287,"[ 1.66666657  2.33333409  1.16666704  4.16666567  2.6666671  -0.49999952
 -0.5000025   1.66666806 -1.49999857  0.49999952 -0.16666651  0.16666353]","[0.08338159 0.0493625  0.05616645 0.06174658 0.07967102 0.10607304
 0.12755517 0.12108712 0.11101848 0.07779164 0.05064993 0.03729744
 0.03819903]"
45,WAV2VEC2_LARGE,RAVDESS,25,13.070617454126477,3.7213134793178217,"[ 2.49999762 -2.1666646   1.49999857  3.00000012  3.00000012  2.5000006
 -3.33333611  4.16666865 -1.83333457  1.33333504 -1.83333457  4.83333468
 -3.66666615  0.16666651  3.99999917 -3.49999964  2.00000107 -3.16666961
  0.333336    0.66666603 -0.49999952  0.66666603 -1.00000203  0.5000025 ]","[0.01737052 0.02003004 0.01828544 0.01893473 0.02212878 0.02358974
 0.02838097 0.04469495 0.04573427 0.04494134 0.05044971 0.05281653
 0.05141046 0.05054971 0.0580688  0.06624334 0.07052331 0.05725017
 0.06345952 0.05579591 0.04434359 0.02416839 0.02366134 0.01993165
 0.02723679]"
46,WAV2VEC2_LARGE_XLSR,RAVDESS,25,11.883026469498873,35.31550786312759,"[ 12.50000149  -1.66667104  -1.49999559   5.66666722   0.33333004
  -0.16666651   3.33333313  -1.83333158   5.33333123  -1.66666508
  -1.50000155   1.83333457   3.49999964  -2.83333361   0.16666651
   2.6666671   -1.33333206   2.83333361   0.16666651  -5.66666722
   1.16666853 -44.33333576  -3.49999964  -4.66666669]","[0.04042189 0.04042676 0.04042664 0.04042432 0.04042475 0.04042445
 0.04042524 0.04042579 0.04042613 0.0404257  0.04042588 0.04042534
 0.04042575 0.04042553 0.04042603 0.04042528 0.04042792 0.04042563
 0.04042561 0.04042281 0.04042836 0.04043168 0.03687752 0.03687735
 0.03687767]"
47,WAV2VEC2_LARGE_XLSR300M,RAVDESS,25,13.46515029668808,-0.5858600435908657,"[ 0.00000000e+00  5.16666770e+00  2.16666460e+00  8.00000131e+00
 -1.83333158e+00 -2.98023224e-06  2.83333361e+00 -2.66666710e+00
  2.66666710e+00  3.66666615e+00  1.00000203e+00 -1.66666806e+00
  3.33333611e+00  1.16666555e+00 -2.83333361e+00  1.49999857e+00
  3.33333015e-01  1.66666806e+00 -1.83333158e+00 -5.00002503e-01
  0.00000000e+00 -6.66666031e-01 -3.16666663e+00 -1.83333457e+00]","[0.02049389 0.01927427 0.01952767 0.02148778 0.02237505 0.02625659
 0.02934171 0.03104017 0.03804495 0.04774181 0.04582166 0.04681263
 0.05006311 0.04913012 0.05254196 0.04787575 0.05265111 0.05897472
 0.07663473 0.06607283 0.04565546 0.05145455 0.02838113 0.02627017
 0.02607619]"
48,HUBERT_ASR_LARGE,ShEMO,25,11.692776655778289,2.0112379341314757,"[ 1.88172162  7.39247203  0.          0.40322542  2.01613307 -0.67204535
  0.67204535 -0.40322542  0.94085932 -0.5376339  -0.26881993  1.88172162
 -0.13440847 -0.40322542  0.13440847 -0.26881695  1.07526779 -1.47849321
  0.         -0.67204237  1.34408474  0.13440847 -1.61290467  0.53763688]","[0.02799623 0.02836058 0.0333918  0.03785869 0.04111461 0.04127121
 0.04349331 0.04333104 0.04100615 0.04282072 0.05104089 0.0635486
 0.05974795 0.04617942 0.04675023 0.04482286 0.04304568 0.04025277
 0.03843502 0.0400911  0.04080969 0.03123963 0.0266246  0.02503861
 0.02172865]"
49,HUBERT_BASE,ShEMO,13,7.228665517643094,3.573033030444433,"[ 0.94085932  5.24193347  2.15054154  0.94085932  0.40322542  0.26881695
  0.5376339   0.13440847  1.07526779  0.40322542 -0.5376339   0.40322542]","[0.06095096 0.03801132 0.04321236 0.05483205 0.0502077  0.04535001
 0.06976026 0.08241822 0.0954017  0.12202485 0.14804855 0.10264363
 0.08713839]"
50,HUBERT_LARGE,ShEMO,25,11.895989713259041,1.2499992301064116,"[ 1.47849321  6.72042966  0.40322542  1.61290467 -0.13441145  0.
 -0.5376339  -1.34408474  2.41935253  0.13440847 -1.61290169  1.47849321
 -0.40322244  1.07526779 -1.34408772  1.20967925 -0.53763688 -1.20967627
  0.67204237 -0.5376339   0.67204237 -0.13440847  0.         -0.40322542]","[0.03563994 0.03118266 0.03502403 0.03719408 0.03853199 0.04242388
 0.04350426 0.03981699 0.03898697 0.04096661 0.05631021 0.05311972
 0.05448021 0.04640274 0.04360155 0.03859028 0.03601011 0.03315104
 0.03376941 0.03625265 0.03938667 0.03521095 0.03459233 0.04209486
 0.03375589]"
51,WAV2VEC2_ASR_LARGE_960H,ShEMO,25,10.739608806557953,1.6421046636903596,"[ 8.60215425  2.41935253  0.26881695  0.40322542  1.74731016 -0.13440847
 -0.5376339   0.26881695  0.13440847 -0.40322542  0.40322542 -0.80645084
  0.67204237  0.67204237 -0.94085932  0.         -0.40322542  0.40322542
 -1.07526779  1.07526779 -0.40322542 -0.40322542  0.67204237  0.13440847]","[0.02286505 0.02293215 0.02923413 0.02978834 0.03511104 0.06342096
 0.06468685 0.10369481 0.08232208 0.05076647 0.04514963 0.04486971
 0.04130039 0.04284407 0.04656538 0.04538072 0.03599487 0.0253487
 0.0222789  0.02119048 0.02358558 0.02439762 0.02407845 0.02535177
 0.02684186]"
52,WAV2VEC2_BASE,ShEMO,13,5.968286853283644,0.9882355672512667,"[ 2.01613307  6.98924661  2.95698643 -0.40322542  0.26881695  1.20967627
  1.34408772 -0.80645382 -0.67204237 -0.5376339   0.80645084 -1.74731016]","[0.05770185 0.03803355 0.03790156 0.06918178 0.1248358  0.10555648
 0.17352014 0.08630158 0.08602976 0.07308965 0.05424949 0.03717238
 0.05642594]"
53,WAV2VEC2_LARGE,ShEMO,25,12.51992303878069,3.0884941322181723,"[ 9.67741907  1.47849619  0.          2.28494406 -0.13440847  0.80645084
  0.5376339   0.          0.26881695  0.26881695 -0.5376339  -0.40322542
  0.13440847 -0.80645084 -0.26881695  0.94085932  0.13440847  0.13440847
 -0.13440847 -0.67204237  0.80645084 -0.26881695  0.94085932  0.        ]","[0.0233504  0.02282819 0.03036816 0.02932447 0.03256982 0.04626451
 0.04245555 0.040363   0.04541539 0.04462723 0.03748763 0.03298705
 0.03813901 0.04787474 0.05326482 0.04786758 0.05804381 0.055037
 0.05383202 0.04996613 0.04953462 0.04794903 0.02411416 0.01980813
 0.02652762]"
54,WAV2VEC2_LARGE_XLSR,ShEMO,25,11.803264992311597,29.92718421365058,"[  7.79569745  -0.13440847  -0.26881695   1.61290169   0.80645382
   0.67204237   0.4032284   -0.26881695   0.5376339    0.67204237
  -0.80645084  -0.26881993  -0.26881695  -1.20967925  -0.26881695
   1.20968223  -1.07527077   0.94085932   0.13440847   1.20967925
  -0.5376339  -29.9731195   -6.85483813  -1.74731314]","[0.04056633 0.04059879 0.04067442 0.04068544 0.04072472 0.04076058
 0.0407259  0.04073398 0.0407481  0.04075998 0.04075182 0.04072956
 0.04073519 0.04073538 0.04077076 0.04081188 0.04081583 0.04079948
 0.04079449 0.04077864 0.04081877 0.04090268 0.03452659 0.03452464
 0.03452601]"
55,WAV2VEC2_LARGE_XLSR300M,ShEMO,25,13.548490348272026,4.243243550975548,"[ 5.24193645e+00  5.37633896e-01 -4.03225422e-01  6.72042370e-01
  2.15053856e+00  2.68816948e-01  1.34411454e-01 -1.34408474e-01
  2.68813968e-01  8.06453824e-01 -9.40862298e-01  9.40862298e-01
 -6.72045350e-01  1.34408772e+00 -1.34408474e+00  9.40859318e-01
 -1.07527077e+00  2.98023224e-06  8.06450844e-01 -1.34408474e-01
  4.03225422e-01  0.00000000e+00  2.68816948e-01 -1.34408474e-01]","[0.01992511 0.02075389 0.02332531 0.01979233 0.02427878 0.03052692
 0.02911204 0.04003959 0.03846736 0.04146647 0.03648251 0.03544546
 0.03634559 0.03587211 0.03563809 0.03900588 0.05011419 0.0780527
 0.14268991 0.07921561 0.03561234 0.04843548 0.0213095  0.0198255
 0.01826736]"
