,dataset,model,layers,mean_accuracy,mean_weights
24,AESDD,HUBERT_ASR_LARGE,24,56.280192732810974,"[0.03423348 0.03485969 0.03808472 0.04077141 0.04253415 0.04290767
 0.04366088 0.04269713 0.04148626 0.04153361 0.04350389 0.04334244
 0.04279511 0.04118147 0.04028799 0.03912893 0.03846551 0.03883187
 0.03908707 0.0391655  0.03895956 0.03848396 0.03840214 0.0381054
 0.0374902 ]"
25,AESDD,HUBERT_BASE,0,39.613527059555054,[array([1.])]
26,AESDD,HUBERT_BASE,1,36.7149755358696,[0.61341429 0.3865857 ]
27,AESDD,HUBERT_BASE,2,39.3719807267189,[0.43023489 0.27513438 0.29463072]
28,AESDD,HUBERT_BASE,3,44.44444477558136,[0.32108501 0.20361511 0.23296218 0.24233772]
29,AESDD,HUBERT_BASE,4,45.65217345952988,[0.25091124 0.15788393 0.18460744 0.20632398 0.20027339]
30,AESDD,HUBERT_BASE,5,47.826087474823,[0.20362448 0.13106506 0.15377386 0.17370329 0.17582745 0.16200584]
31,AESDD,HUBERT_BASE,6,51.44927501678467,"[0.17367777 0.11082632 0.12563138 0.14729937 0.15116576 0.14592327
 0.14547611]"
32,AESDD,HUBERT_BASE,7,55.79710006713867,"[0.1486154  0.09533621 0.10786582 0.12415226 0.13141792 0.13216829
 0.14271805 0.11772606]"
33,AESDD,HUBERT_BASE,8,57.72947072982788,"[0.13377438 0.08290912 0.09184146 0.10470239 0.11569022 0.11849184
 0.13027646 0.1144355  0.10787863]"
34,AESDD,HUBERT_BASE,9,54.347825050354004,"[0.11694041 0.07378687 0.07973961 0.08945374 0.09914199 0.10357442
 0.11855499 0.11151114 0.10994111 0.09735573]"
35,AESDD,HUBERT_BASE,10,56.038644909858704,"[0.10679609 0.06564627 0.0709377  0.07910287 0.08563631 0.09066458
 0.10251037 0.09934214 0.09998048 0.09859    0.1007932 ]"
36,AESDD,HUBERT_BASE,11,57.72946774959564,"[0.09681292 0.06098725 0.06521785 0.07139511 0.07628974 0.08031599
 0.09076881 0.08833636 0.09085008 0.09351907 0.09956558 0.08594128]"
37,AESDD,HUBERT_BASE,12,55.55555522441864,"[0.09059774 0.05552328 0.05808975 0.06399456 0.06746293 0.06929681
 0.07850327 0.07499715 0.08270714 0.08698249 0.09730814 0.08987122
 0.08466553]"
38,AESDD,HUBERT_LARGE,0,35.990338027477264,[array([1.])]
