,dataset,model,max_accuracy,mean_accuracy,std_accuracy,probing_max_acc,probing_dense_max_acc,probing_top_3,probing_dense_top_3,probing_top_layers,probing_dense_top_layers
0,AESDD,HUBERT_ASR_LARGE,74.39613342285156,66.47342920303345,5.016717206604176,75.36231875419617,75.36231875419617,67.47 (0.8),70.69 (1.21),[18 15 22],[19 21 22]
1,AESDD,HUBERT_BASE,61.35265827178955,59.03381705284119,1.3105950877046915,58.93719792366028,63.76811861991882,57.17 (0.8),60.14 (1.57),[11 12  9],[ 7  9 10]
2,AESDD,HUBERT_LARGE,72.46376872062683,63.09178829193115,7.835028109857164,73.9130437374115,78.2608687877655,66.99 (0.5),72.22 (1.23),[25 18 19],[24 19 16]
3,AESDD,WAV2VEC2_ASR_LARGE_960H,66.18357300758362,63.09178590774536,3.1693182634771806,76.81159377098083,77.77777910232544,70.13 (0.11),70.45 (1.09),[11 22  8],[24 25 23]
4,AESDD,WAV2VEC2_BASE,62.31883764266968,59.90338206291199,2.3862957029576983,67.63284802436829,71.49758338928223,64.73 (1.61),65.14 (1.77),[9 8 7],[ 9 13 11]
5,AESDD,WAV2VEC2_LARGE,75.84540843963623,63.96135210990906,6.413304678209006,73.42995405197144,72.46376872062683,71.9 (0.75),68.84 (1.88),[21 23 22],[ 7 10 17]
6,AESDD,WAV2VEC2_LARGE_XLSR,65.70048332214355,52.946860790252686,11.31961515929369,77.77777910232544,81.15941882133484,73.03 (0.75),75.12 (0.68),[22 12 17],[20 21 14]
7,AESDD,WAV2VEC2_LARGE_XLSR300M,74.39613342285156,64.15458917617798,5.269022918494694,75.36231875419617,77.77777910232544,73.35 (0.3),72.06 (0.23),[22 20 19],[15 19 21]
8,CaFE,HUBERT_ASR_LARGE,80.7692289352417,74.52991485595703,3.5917765814193863,79.05982732772827,82.47863054275513,73.93 (0.63),79.13 (1.31),[21 24 19],[15 23 21]
9,CaFE,HUBERT_BASE,72.22222089767456,69.65811967849731,2.076060793517226,55.12820482254028,71.79487347602844,51.71 (0.17),67.66 (0.2),[13 11 10],[ 9 13 11]
10,CaFE,HUBERT_LARGE,79.05982732772827,74.44444417953491,4.613801819532358,77.35042572021484,81.62392973899841,73.43 (0.2),79.84 (0.81),[24 19 22],[17 23 24]
11,CaFE,WAV2VEC2_ASR_LARGE_960H,77.77777910232544,71.36752247810364,5.056477944203747,72.64957427978516,76.49572491645813,70.8 (1.16),75.21 (0.63),[15 22 19],[24 14 15]
12,CaFE,WAV2VEC2_BASE,72.22222089767456,64.18803572654724,7.540766436893389,58.974361419677734,69.2307710647583,53.35 (0.71),62.68 (0.44),[ 8 12  6],[ 5 13  6]
13,CaFE,WAV2VEC2_LARGE,80.7692289352417,73.5897445678711,3.7098335679731744,75.64102411270142,83.33333134651184,71.58 (0.6),80.7 (0.66),[10 20 18],[15 18 21]
14,CaFE,WAV2VEC2_LARGE_XLSR,73.50427508354187,55.81196665763855,15.103316095269316,76.92307829856873,82.05128312110901,72.08 (0.73),79.2 (0.61),[20 22 21],[18 14 12]
15,CaFE,WAV2VEC2_LARGE_XLSR300M,84.18803215026855,77.6068377494812,3.884894032557634,74.35897588729858,82.90598392486572,71.23 (0.66),80.27 (0.2),[23 21 22],[17 23 14]
16,EMOVO,HUBERT_ASR_LARGE,55.10203838348389,40.40816247463226,10.057104612396987,49.48979616165161,57.65306353569031,45.66 (0.75),49.91 (0.64),[21 20 19],[20 19 17]
17,EMOVO,HUBERT_BASE,35.71428656578064,32.55102097988129,2.6095332318593583,33.16326439380646,35.71428656578064,27.55 (2.35),32.48 (0.52),[ 1 13 11],[12 13 11]
18,EMOVO,HUBERT_LARGE,48.469388484954834,43.571428656578064,5.18905468164029,42.34693944454193,54.08163070678711,38.35 (0.64),50.34 (0.67),[18 21 22],[19 16 13]
19,EMOVO,WAV2VEC2_ASR_LARGE_960H,50.51020383834839,42.75510251522064,6.521039009804395,44.387754797935486,46.42857015132904,42.6 (0.55),44.22 (0.32),[21 17 15],[25 24 20]
20,EMOVO,WAV2VEC2_BASE,35.20408272743225,30.0,3.168199499401828,34.183672070503235,33.673468232154846,30.53 (0.24),29.85 (0.42),[ 8 13 11],[10 11 13]
21,EMOVO,WAV2VEC2_LARGE,42.85714328289032,38.26530635356903,4.96761669004872,42.34693944454193,45.91836631298065,37.41 (0.12),42.09 (0.0),[18 22 25],[17 15 21]
22,EMOVO,WAV2VEC2_LARGE_XLSR,38.77550959587097,32.24489748477936,7.005976970873609,48.97959232330322,55.612242221832275,40.65 (3.27),51.79 (1.82),[13  9 20],[19 11 22]
