,dataset,model,max_accuracy,mean_accuracy,std_accuracy,probing_max_acc,probing_dense_max_acc,probing_top_3,probing_dense_top_3,probing_top_layers,probing_dense_top_layers
23,EMOVO,WAV2VEC2_LARGE_XLSR300M,42.85714328289032,31.428571343421936,7.044512840843109,38.77550959587097,53.06122303009033,34.1 (0.43),47.45 (0.36),[23 19 20],[14 16 20]
24,EmoDB,HUBERT_ASR_LARGE,96.42857313156128,91.66666626930237,4.821062163794985,98.8095223903656,100.0,98.02 (0.56),98.41 (0.74),[17 20 21],[18 21 19]
25,EmoDB,HUBERT_BASE,92.85714030265808,87.61904716491699,3.809522315859864,82.14285969734192,88.09523582458496,80.36 (1.29),86.11 (0.28),[11 10 13],[12 10 13]
26,EmoDB,HUBERT_LARGE,97.6190447807312,94.52380895614624,3.067642972545328,98.8095223903656,98.8095223903656,96.83 (0.56),98.41 (0.28),[22 25 24],[24 25 17]
27,EmoDB,WAV2VEC2_ASR_LARGE_960H,95.23809552192688,92.61904716491699,2.4281047362392147,96.42857313156128,95.23809552192688,93.85 (0.56),93.85 (0.56),[20 13 16],[23 25 24]
28,EmoDB,WAV2VEC2_BASE,91.66666865348816,86.42857193946838,3.417309716357332,86.90476417541504,88.09523582458496,85.12 (0.49),85.52 (0.28),[10 12  7],[ 4  6 13]
29,EmoDB,WAV2VEC2_LARGE,95.23809552192688,91.66666626930237,2.7147040154355415,95.23809552192688,96.42857313156128,92.86 (0.97),95.04 (0.28),[21 17 16],[16 15 18]
30,EmoDB,WAV2VEC2_LARGE_XLSR,98.8095223903656,86.1904764175415,13.606887774664516,100.0,100.0,98.61 (0.74),98.81 (0.0),[15 21 22],[20 22 13]
31,EmoDB,WAV2VEC2_LARGE_XLSR300M,97.6190447807312,91.42856955528259,4.84452115705621,98.8095223903656,100.0,97.42 (0.74),97.82 (0.28),[20 12 23],[11 15 14]
32,IEMOCAP,HUBERT_ASR_LARGE,72.45989441871643,71.76470637321472,0.633739028089004,67.91443824768066,72.72727489471436,67.16 (0.26),72.13 (0.24),[18 23 14],[19 20 24]
33,IEMOCAP,HUBERT_BASE,68.09269189834595,66.23885989189148,1.0566661193591942,63.725489377975464,68.80570650100708,62.64 (0.09),68.03 (0.04),[10 11 13],[ 6 11 12]
34,IEMOCAP,HUBERT_LARGE,70.85561752319336,69.82174873352051,1.0822185252027718,67.11229681968689,72.72727489471436,66.22 (0.28),70.59 (0.19),[21 22 17],[24 22 25]
35,IEMOCAP,WAV2VEC2_ASR_LARGE_960H,69.51871514320374,67.09447383880615,2.624258930458379,67.20142364501953,70.67736387252808,65.92 (0.21),69.58 (0.59),[10 23 22],[13 24 20]
36,IEMOCAP,WAV2VEC2_BASE,65.6862735748291,64.09982204437256,1.1734941883204257,61.31907105445862,69.25133466720581,60.7 (0.25),68.72 (0.35),[12 13 11],[13  9  8]
37,IEMOCAP,WAV2VEC2_LARGE,68.0035650730133,66.70231819152832,1.3081880040778402,65.32976627349854,69.78609561920166,64.32 (0.24),68.78 (0.37),[18 20 16],[17 16 13]
38,IEMOCAP,WAV2VEC2_LARGE_XLSR,69.07308101654053,66.77361845970154,1.6591900562730728,67.46880412101746,69.96434926986694,66.35 (0.06),69.15 (0.38),[11 14 12],[19 17 21]
39,IEMOCAP,WAV2VEC2_LARGE_XLSR300M,71.1229920387268,69.16221022605896,1.1174628201796493,65.95365405082703,72.1925139427185,64.97 (0.24),71.49 (0.29),[17  6 19],[18 20 17]
40,RAVDESS,HUBERT_ASR_LARGE,74.6666669845581,72.33333349227905,1.7763891124493552,72.66666889190674,76.33333206176758,70.11 (0.55),74.28 (0.83),[14 19 21],[21 20 19]
41,RAVDESS,HUBERT_BASE,61.666667461395264,58.733333349227905,2.2449948752730933,56.99999928474426,57.999998331069946,55.72 (0.55),55.22 (1.16),[11 12 13],[ 8  4 11]
42,RAVDESS,HUBERT_LARGE,74.00000095367432,69.60000038146973,3.0066581528317684,68.66666674613953,76.99999809265137,67.17 (0.83),72.0 (0.68),[21 23 17],[14 17 15]
43,RAVDESS,WAV2VEC2_ASR_LARGE_960H,67.33333468437195,66.00000143051147,1.7384546025357184,69.9999988079071,68.33333373069763,68.89 (0.16),66.94 (0.63),[18 14 21],[17 20 21]
44,RAVDESS,WAV2VEC2_BASE,64.66666460037231,58.999998569488525,4.366539551192883,62.00000047683716,63.999998569488525,59.28 (0.42),61.0 (0.14),[11  6  9],[13 10  8]
45,RAVDESS,WAV2VEC2_LARGE,68.00000071525574,64.40000057220459,2.653299638192951,70.6666648387909,70.99999785423279,68.17 (0.62),68.61 (0.48),[18 13 16],[19 20 17]
46,RAVDESS,WAV2VEC2_LARGE_XLSR,75.66666603088379,61.666667461395264,7.7028124412488195,74.00000095367432,76.66666507720947,70.22 (0.75),75.11 (0.08),[14 19 20],[15 19 20]
47,RAVDESS,WAV2VEC2_LARGE_XLSR300M,76.33333206176758,70.73333263397217,5.567364327080956,75.66666603088379,76.33333206176758,71.22 (0.68),74.61 (0.91),[18 15 19],[16 20 18]
48,ShEMO,HUBERT_ASR_LARGE,94.08602118492126,92.7419364452362,0.7213115629094161,93.81720423698425,94.08602118492126,93.23 (0.23),93.1 (0.23),[14 13 18],[19 10 12]
49,ShEMO,HUBERT_BASE,90.59139490127563,89.35483694076538,0.9707232723779408,89.7849440574646,90.86021780967712,89.2 (0.17),89.92 (0.4),[10 13 11],[10 12  9]
50,ShEMO,HUBERT_LARGE,91.93548560142517,91.55914187431335,0.40232836757541834,91.12903475761414,94.35483813285828,90.64 (0.23),93.1 (0.44),[11 17 15],[19 17 16]
51,ShEMO,WAV2VEC2_ASR_LARGE_960H,91.12903475761414,90.0,0.8568502004204627,90.05376100540161,93.01075339317322,89.56 (0.17),91.8 (0.5),[ 7  6 15],[10 12  6]
52,ShEMO,WAV2VEC2_BASE,91.39785170555115,90.37634372711182,0.7488401896515309,91.12903475761414,91.66666865348816,90.05 (0.5),90.86 (0.22),[12  9  8],[10  6  7]
53,ShEMO,WAV2VEC2_LARGE,91.66666865348816,90.59139728546143,0.7410797776568356,90.59139490127563,92.4731194972992,89.92 (0.0),91.98 (0.13),[11 24 25],[ 9 10  8]
54,ShEMO,WAV2VEC2_LARGE_XLSR,92.20430254936218,90.64516186714172,1.4163390755310392,93.01075339317322,95.16128897666931,92.25 (0.28),93.77 (0.23),[10 21 11],[22 17 15]
55,ShEMO,WAV2VEC2_LARGE_XLSR300M,93.54838728904724,93.11828017234802,0.2741405726230557,93.27957034111023,94.62365508079529,92.74 (0.11),94.04 (0.32),[25 24 15],[18 22 23]
