,dataset,model,dense_mean,probing_mean_max,probing_dense_same,probing_dense_mean_max
39,IEMOCAP,WAV2VEC2_LARGE_XLSR300M,69.16 (1.12),65.1 (0.68) [19],70.07 (1.09) [19],71.91 (1.35) [14]
40,RAVDESS,HUBERT_ASR_LARGE,72.33 (1.78),71.8 (2.65) [12],71.33 (2.14) [12],72.8 (1.31) [11]
41,RAVDESS,HUBERT_BASE,58.73 (2.24),64.33 (1.97) [7],61.07 (0.85) [7],64.2 (1.22) [8]
42,RAVDESS,HUBERT_LARGE,69.6 (3.01),70.27 (1.47) [13],72.4 (3.2) [13],72.47 (4.57) [12]
43,RAVDESS,WAV2VEC2_ASR_LARGE_960H,66.0 (1.74),70.4 (1.06) [9],68.0 (1.45) [9],68.0 (1.45) [9]
44,RAVDESS,WAV2VEC2_BASE,59.0 (4.37),62.33 (0.84) [5],60.07 (0.93) [5],63.8 (1.13) [9]
45,RAVDESS,WAV2VEC2_LARGE,64.4 (2.65),71.67 (0.76) [12],65.2 (0.98) [12],69.73 (2.24) [13]
46,RAVDESS,WAV2VEC2_LARGE_XLSR,61.67 (7.7),71.13 (1.98) [10],74.73 (2.28) [10],74.73 (2.28) [10]
47,RAVDESS,WAV2VEC2_LARGE_XLSR300M,70.73 (5.57),72.33 (2.64) [10],73.27 (3.13) [10],75.93 (2.56) [19]
48,ShEMO,HUBERT_ASR_LARGE,92.74 (0.72),92.96 (0.4) [13],92.69 (0.57) [13],92.74 (0.72) [9]
49,ShEMO,HUBERT_BASE,89.35 (0.97),90.43 (0.55) [5],90.27 (0.91) [5],91.29 (0.5) [2]
50,ShEMO,HUBERT_LARGE,91.56 (0.4),91.29 (1.28) [13],92.31 (0.53) [13],92.31 (0.53) [13]
51,ShEMO,WAV2VEC2_ASR_LARGE_960H,90.0 (0.86),89.84 (0.46) [8],90.7 (0.65) [8],90.75 (0.81) [7]
52,ShEMO,WAV2VEC2_BASE,90.38 (0.75),89.84 (1.11) [6],90.0 (1.51) [6],90.81 (0.87) [4]
53,ShEMO,WAV2VEC2_LARGE,90.59 (0.74),90.43 (0.69) [7],90.27 (1.0) [7],91.34 (0.4) [6]
54,ShEMO,WAV2VEC2_LARGE_XLSR,90.65 (1.42),92.15 (0.49) [7],94.14 (0.67) [7],94.14 (0.67) [7]
55,ShEMO,WAV2VEC2_LARGE_XLSR300M,93.12 (0.27),91.88 (0.55) [14],92.63 (1.1) [14],93.87 (0.4) [20]
