,model,dataset,layers,center_of_gravity,expected_layer,differential_score,mixing_weight
30,WAV2VEC2_LARGE_XLSR,EmoDB,25,11.881460417062044,46.74285227094401,"[ 13.69047463  -0.5952388    3.57142687   1.78571641   4.16666567
  -1.19047761   0.           4.16666865   0.59523582   0.5952388
  -0.5952388    0.5952388   -4.16666567   2.97619104   1.19047463
   0.          -0.5952388    0.5952388    0.          -0.5952388
   0.5952388  -32.14285672  -8.92857015  -6.54761791]","[0.04019913 0.04028266 0.04030941 0.04032689 0.040346   0.04038928
 0.04049159 0.04051579 0.040526   0.04051851 0.0405173  0.04050394
 0.04050116 0.0405082  0.04052413 0.04055695 0.04057539 0.04058279
 0.04061429 0.0406661  0.04072384 0.04069243 0.03638355 0.03637063
 0.03637404]"
31,WAV2VEC2_LARGE_XLSR300M,EmoDB,25,12.482428745366633,1.3809509731472698,"[ 5.95237911e+00  6.54762089e+00  5.95238209e+00 -2.98023224e-06
  2.38095522e+00  2.38094926e+00 -1.78571343e+00  2.38095224e+00
  1.19047463e+00  4.16666865e+00 -2.98023224e-06 -5.95235825e-01
  1.19047761e+00 -5.95238805e-01 -1.78571343e+00 -2.98023224e-06
  5.95238805e-01 -1.19047463e+00  1.78571343e+00  5.95235825e-01
 -5.95235825e-01 -2.38095224e+00  1.78571641e+00 -2.97619402e+00]","[0.03269503 0.03051114 0.03065121 0.03121748 0.03360702 0.03680245
 0.03793469 0.03870406 0.04127919 0.04415461 0.04382493 0.0433221
 0.04361822 0.04341292 0.04376826 0.04386097 0.0461374  0.04720456
 0.05156404 0.04990071 0.04116655 0.0440267  0.03451138 0.03195821
 0.03416619]"
32,HUBERT_ASR_LARGE,IEMOCAP,25,13.614780557341874,7.9245271174432,"[ 2.13903785e+00 -1.78253651e-01  2.67380476e-01  9.35825706e-01
 -3.11940908e-01  9.80392098e-01  4.90197539e-01  4.90194559e-01
 -2.22817063e-01  3.16399336e+00 -1.69340372e+00  1.11407936e+00
 -1.24776959e+00  1.60427690e+00  1.20320916e+00 -2.36185491e+00
  3.03030312e+00  1.20320916e+00  4.90197539e-01 -1.33689940e+00
  4.45634127e-01 -2.98023224e-06  9.35831666e-01 -1.69340670e+00]","[0.01872585 0.01959417 0.02418294 0.02837431 0.03089062 0.03176064
 0.03371558 0.03456565 0.03405426 0.03266288 0.03588965 0.03997757
 0.04335412 0.04400655 0.03753604 0.04232927 0.04781804 0.05539651
 0.05986147 0.07652733 0.07840665 0.06586742 0.03667536 0.02716214
 0.020665  ]"
33,HUBERT_BASE,IEMOCAP,13,7.047980343922973,2.3419356536716447,"[ 1.47058666  2.09447443  0.22281706  2.71835923  1.24777257 -0.66844821
  0.13369024 -0.93582869  1.15864575  0.31194091  0.08912683 -0.93582869]","[0.0402956  0.03524368 0.05436922 0.05332071 0.05516705 0.06168846
 0.07597707 0.09185578 0.13926312 0.14225741 0.1026526  0.07978699
 0.06812236]"
34,HUBERT_LARGE,IEMOCAP,25,14.042987660504878,6.690239512112961,"[ 3.65418792  2.80748606 -1.11408234  3.74331474 -0.75757504  1.60427988
 -1.29233599  0.9803921   0.57932138 -0.6238848   2.09447145 -1.9162178
  0.44563115  1.20320916 -0.53475797  0.6238848  -1.47058964  1.51515305
 -0.53476095  0.71301162  1.42602921 -0.57932436  0.22281706  0.44563413]","[0.02127098 0.02135692 0.02433426 0.02686064 0.0263775  0.02741567
 0.03029787 0.03172193 0.03182034 0.03109656 0.03505595 0.0386625
 0.04264038 0.04410498 0.03971002 0.04023384 0.04464061 0.04961382
 0.05735579 0.07328666 0.07218157 0.06302828 0.0335495  0.03787675
 0.05550668]"
35,WAV2VEC2_ASR_LARGE_960H,IEMOCAP,25,10.541348225437105,4.147481237319344,"[ 7.30837882  0.89126825  0.17825067  0.93582869 -0.31194389  1.02495849
 -0.53476095 -0.2673775   1.51515007  1.42602623 -0.35651028  0.75757802
 -0.98039508 -2.31728852  1.24776959  0.7130146  -0.40106773  1.06951892
  2.00534761 -1.3368994  -1.20320916  0.44563115  0.93583167 -0.3565073 ]","[0.01953398 0.02893111 0.03399924 0.03809301 0.04455596 0.0512282
 0.05075025 0.05785023 0.05489043 0.06066936 0.06961343 0.05967252
 0.07192403 0.06344627 0.05844005 0.05481992 0.03706033 0.0264284
 0.01841943 0.01704892 0.01558295 0.01584034 0.01725421 0.01607197
 0.01787546]"
36,WAV2VEC2_BASE,IEMOCAP,13,6.1991951279342175,3.448088741703945,"[ 3.20855677  0.04456043  1.91622078 -0.98038912  2.36185491  0.84670186
  1.60427392 -0.49019456 -1.02495551  0.57932436 -1.15864575  1.24777257]","[0.0403133  0.04054252 0.04605744 0.06502079 0.0844108  0.08603945
 0.15007257 0.15795308 0.12717575 0.07373142 0.04577883 0.03609759
 0.04680646]"
37,WAV2VEC2_LARGE,IEMOCAP,25,11.418544246815145,4.5925938922026655,"[ 1.51515305  0.49019456  1.64884329  2.49554217 -2.98573971  1.73796713
  1.78253055 -0.22281408  0.6238848  -0.04456341 -0.13369024  1.29233599
 -0.9803921   0.08912683  0.17825067 -0.13369024 -0.08912683 -0.75757205
 -0.80214143  1.60427988 -0.08912683 -0.26738048 -0.93582869  1.20320916]","[0.01605772 0.02393055 0.02984208 0.03654532 0.03734321 0.03765944
 0.04206591 0.05319317 0.06225425 0.0510335  0.05526648 0.05599393
 0.06842805 0.07279862 0.0555709  0.05203117 0.04423877 0.03522467
 0.03333836 0.03196372 0.02657467 0.02296103 0.01998107 0.01321805
 0.02248536]"
38,WAV2VEC2_LARGE_XLSR,IEMOCAP,25,11.707600992172956,46.12194122054312,"[ 2.18359828  0.22282004  2.45097876 -0.3565073  -0.35650432  0.80213845
  0.9803921   1.20320916 -0.66845119 -0.22281706 -0.31194091  1.02495253
 -0.49019456  0.40107071 -0.26738048  1.29233599 -1.02495551  0.35650432
 -1.33689642  2.22816169 -1.33689642 -7.30837882 -2.00534761 -2.9411763 ]","[0.03618777 0.03802606 0.03871932 0.03880593 0.03989176 0.04007183
 0.04119333 0.04254888 0.04233816 0.04251702 0.04189712 0.0417709
 0.04222993 0.04290407 0.04333229 0.04410122 0.04536556 0.04632021
 0.04727604 0.04713539 0.04885305 0.04724155 0.02041148 0.02039002
 0.02047116]"
39,WAV2VEC2_LARGE_XLSR300M,IEMOCAP,25,13.987105053383857,-0.20258125552919254,"[ 5.34759462  2.58466899 -0.89126527  2.49554515  1.06951892 -0.04456043
 -1.38146579  2.58467197 -0.57932138  0.22281408  0.3565073  -0.04456341
  0.40107071 -0.44563413  0.62388778  1.33689642 -0.71301162 -1.11408234
  1.51515007 -3.38681042  2.49554515 -0.9803921  -0.89126229 -0.22281706]","[0.01189667 0.00862539 0.00925375 0.01173072 0.01490119 0.01990905
 0.0228327  0.02448273 0.03772913 0.05287839 0.05027004 0.04166767
 0.04745196 0.04962278 0.06166095 0.06136352 0.05695782 0.10548111
 0.13029041 0.08769093 0.02972146 0.02768025 0.01127024 0.01041963
 0.01421147]"
40,HUBERT_ASR_LARGE,RAVDESS,25,11.934999349527061,3.31404871719466,"[ 9.00000036  0.66666603  6.16666675 -0.66666901  3.0000031  -5.33333421
  3.33333313  2.1666646  -1.99999809  1.66666508 -2.1666646   2.83333361
 -1.00000203  3.83333564  0.16666651  0.33333302 -3.33333313  6.83333278
 -0.66666603 -1.33333206 -5.00000119  0.83333254  0.66666603  0.16666651]","[0.02827652 0.02930653 0.03221014 0.03623081 0.03858433 0.03994281
 0.04337916 0.04314736 0.04203868 0.04360207 0.04618852 0.05110682
 0.05073891 0.05529299 0.05268526 0.04620182 0.04282089 0.04104629
 0.03940579 0.03854368 0.03695694 0.03433565 0.03043396 0.02972953
 0.02779449]"
41,HUBERT_BASE,RAVDESS,13,6.437088657170534,-4.88889694655351,"[ 0.50000101  1.83333457  2.1666646  -3.49999964  2.00000107 -1.16666555
  2.1666646  -5.49999923  2.83333361  5.33333272 -5.00000119 -0.16666651]","[0.06985375 0.05323213 0.06029953 0.06483408 0.06723109 0.07625321
 0.0907171  0.09101716 0.09001963 0.0865764  0.09104924 0.0796955
 0.07922122]"
42,HUBERT_LARGE,RAVDESS,25,12.45362945459783,4.610686166394419,"[ 8.66666734  4.66666818  0.16666651  2.1666646   1.00000203 -1.66666806
  3.66666615 -0.33333302 -3.16666663  0.99999905 -1.49999857  6.00000024
  2.49999762  1.66666806 -3.83333266  3.00000012 -4.16666865 -0.16666353
  2.1666646   0.16666949 -2.6666671   1.66666508 -0.83333254  1.66666508]","[0.03198692 0.03216217 0.03289641 0.0340098  0.03512674 0.03597359
 0.03825994 0.03886091 0.03834653 0.03867542 0.04276537 0.04665599
 0.05090133 0.05103805 0.04875513 0.04381851 0.04063489 0.03938061
 0.03944722 0.03876551 0.03815952 0.0381155  0.03534312 0.04368442
 0.04623643]"
43,WAV2VEC2_ASR_LARGE_960H,RAVDESS,25,10.52405926771462,1.8775496947573587,"[ 7.00000226 -0.16666651 -3.50000262 -1.83333158  0.66666603  3.66666913
  3.83333266 -1.16666853 -5.33333123  5.33333123 -2.6666671   4.00000215
  0.99999905 -1.33333504  0.66666901  1.16666555 -0.49999952 -2.00000107
  2.5000006   1.33333504 -4.66666818  0.16666651 -1.33333206  1.33333206]","[0.02550363 0.03548882 0.04241905 0.0443176  0.04868565 0.0522836
 0.06067842 0.0601793  0.06502241 0.06170551 0.05754624 0.05190734
 0.04650434 0.04113198 0.03977446 0.03698468 0.03126784 0.02436363
 0.02219421 0.02231844 0.02394013 0.02483775 0.02562242 0.02690252
 0.02842004]"
44,WAV2VEC2_BASE,RAVDESS,13,6.005332497879863,7.814815722374913,"[-6.66666031e-01 -2.33333409e+00  6.66666031e-01  4.33333218e+00
 -3.33330035e-01  4.99999523e-01  2.66666412e+00 -3.33333015e+00
  3.16666663e+00 -6.66669011e-01  2.98023224e-06  4.99999523e-01]","[0.05979807 0.05361134 0.06163825 0.06804112 0.08115264 0.1106898
 0.10615687 0.10765852 0.10758675 0.08597129 0.06323864 0.0445918
 0.04986493]"
45,WAV2VEC2_LARGE,RAVDESS,25,12.071261211298406,-0.8260913677169266,"[ 7.16666579 -2.83333361  1.00000203 -3.0000031   2.66667008  0.49999654
 -1.16666257  1.49999857  0.66666603 -0.16666651  2.00000107 -1.16666853
  2.00000107  1.50000155  0.83333254  1.83333158 -2.1666646   0.99999607
  0.66666901 -2.16666758  0.333336   -0.49999952 -1.33333504 -1.50000155]","[0.02264867 0.02953581 0.02674272 0.02852893 0.03202126 0.03500522
 0.04202706 0.05176977 0.04917234 0.05088248 0.05243492 0.05335211
 0.05110865 0.04792469 0.04673792 0.04942489 0.05173906 0.0488657
 0.04630426 0.04235339 0.03570067 0.02763406 0.02577714 0.02313835
 0.02916992]"
46,WAV2VEC2_LARGE_XLSR,RAVDESS,25,11.846653431653976,589.3995129112493,"[ 14.8333326   -0.83333552  -0.99999607   3.00000012   1.83333158
   0.16666651  -0.66666603   3.83333266   3.83333564  -2.5000006
   3.66666615  -1.66666806   0.83333254   1.83333457  -2.00000107
  -1.33333206   1.66666508   1.83333457   0.          -2.33333409
  -3.33333015 -12.50000298  -5.83333373  -4.16666567]","[0.03955694 0.03983162 0.03991873 0.0399544  0.03999424 0.04010521
 0.04094733 0.04100716 0.04095676 0.04086406 0.04085218 0.0407944
 0.0408441  0.04096699 0.04119208 0.04151545 0.04160639 0.04172114
 0.04177538 0.04174565 0.04197511 0.04181091 0.03336936 0.03333742
 0.03335704]"
47,WAV2VEC2_LARGE_XLSR300M,RAVDESS,25,12.889331185258925,3.8267728220588224,"[ 3.33333313  4.9999997   3.66666913  0.66666603 -0.99999905  4.16666567
 -0.99999905  1.83333158  1.49999857  1.00000203  0.49999952 -2.6666671
  6.99999928 -0.49999952  0.66666901 -7.16666877  9.16666687 -2.1666646
  1.99999809 -2.1666646  -2.33333707  2.33333707 -0.16666949 -2.49999762]","[0.02133926 0.02222165 0.02277243 0.02294633 0.02590319 0.03079983
 0.03342833 0.03566179 0.04209644 0.04927046 0.05061991 0.04971213
 0.05093714 0.05130532 0.05357765 0.05182447 0.05289189 0.05598265
 0.06525087 0.05559941 0.03951959 0.04431699 0.02463369 0.02319123
 0.02419733]"
48,HUBERT_ASR_LARGE,ShEMO,25,12.256861831061542,-0.35555175604655725,"[ 4.03225422  0.80645382  1.20967925  0.67204237 -0.9408623   0.9408623
  0.40322542 -0.5376339   0.80645084 -0.40322542  0.80645084 -1.74731314
  0.13441145  0.26881695 -0.26881695  0.26881695  0.40322542  0.40322542
 -0.40322542 -0.5376339   0.67204237 -1.34408474  0.40322542  0.        ]","[0.02249608 0.02391128 0.02838539 0.03285952 0.03488689 0.03743021
 0.03906458 0.04101035 0.04062421 0.0416064  0.04526805 0.05176158
 0.06134107 0.06486924 0.05716289 0.04560741 0.04561939 0.04668504
 0.04177906 0.04243769 0.04268007 0.03534198 0.02983042 0.02598692
 0.02135426]"
49,HUBERT_BASE,ShEMO,13,6.654420912265778,-4.000002771618625,"[ 0.          0.67204237  0.80645084 -0.13440847  0.          0.67204237
 -0.26881695  1.20967925 -0.9408623  -0.67204237  0.94085932 -1.20967627]","[0.05100326 0.04761519 0.05233261 0.0650412  0.0695113  0.08323939
 0.08487714 0.09370627 0.10908952 0.09433806 0.09110925 0.08292465
 0.07521214]"
50,HUBERT_LARGE,ShEMO,25,12.608599815517664,2.2051308145649955,"[ 2.55376101  1.47849619  0.          0.80645382  0.40322542  0.13440847
 -0.9408623   1.34408772 -0.67204237  0.40322542 -0.5376339   0.13440847
 -1.47849619  1.47849619  1.88171864 -0.67204237 -1.47849321  1.07526779
 -1.07527077  0.13441145 -0.13440847 -0.26881695  0.67204237  0.        ]","[0.02592903 0.02592184 0.02758631 0.03046454 0.03164203 0.03355574
 0.03583585 0.03839393 0.03888549 0.03837397 0.04534042 0.05178666
 0.06092001 0.06323115 0.05962389 0.04889902 0.0440255  0.0406113
 0.03790258 0.03664455 0.03531164 0.0321586  0.03423528 0.03610857
 0.0466121 ]"
51,WAV2VEC2_ASR_LARGE_960H,ShEMO,25,10.770832947455347,-6.166656606729974,"[ 2.68816948e+00  0.00000000e+00  2.68819928e-01  2.68816948e-01
  1.88172162e+00 -2.28494704e+00  2.68816948e-01  2.68816948e-01
  5.37636876e-01 -1.34408474e-01  5.37633896e-01 -6.72045350e-01
  2.98023224e-06  2.68816948e-01 -6.72045350e-01 -1.20967925e+00
  1.07527077e+00 -6.72045350e-01 -2.68816948e-01  5.37633896e-01
 -1.34408474e-01 -4.03225422e-01  1.47849917e+00 -1.20967925e+00]","[0.0232992  0.02788851 0.03359768 0.03953567 0.04195043 0.04986153
 0.06138933 0.06889623 0.08544724 0.06091624 0.04987189 0.04922673
 0.04580423 0.04579173 0.04238475 0.04277464 0.03461193 0.02408092
 0.02077189 0.01966241 0.02184632 0.0257202  0.0270929  0.02816127
 0.02941611]"
52,WAV2VEC2_BASE,ShEMO,13,5.9321276023983955,-0.29999268294305337,"[ 1.07526779e+00 -4.03225422e-01  8.06453824e-01 -2.98023224e-06
  5.37636876e-01  2.68819928e-01 -5.37636876e-01 -2.68816948e-01
  2.68816948e-01 -6.72042370e-01  4.03225422e-01 -1.34408474e-01]","[0.05176822 0.04940403 0.05505641 0.07983543 0.09375306 0.11576165
 0.1441649  0.09038124 0.09045807 0.07817983 0.05995157 0.04059993
 0.05068567]"
53,WAV2VEC2_LARGE,ShEMO,25,11.467139827087522,-0.3703859735567053,"[ 2.28494406  2.15054154 -0.8064568  -0.80645084  1.20967925  0.53763688
  0.80645084 -0.26881695  0.26881695 -0.40322542  0.         -1.34408772
  0.40322542  0.67204237 -1.47849619  0.67204535 -0.80645382 -0.94085932
  1.20967627  0.         -0.40322542  0.67204237 -0.80645084  0.80645084]","[0.0208537  0.02495175 0.03087736 0.03487876 0.03580354 0.04248777
 0.04674309 0.05425343 0.06546504 0.07645988 0.05350942 0.04729216
 0.04519961 0.04833755 0.04684836 0.04311939 0.04103505 0.03874357
 0.03476413 0.03460795 0.03466375 0.0265101  0.02562983 0.02021191
 0.02675287]"
54,WAV2VEC2_LARGE_XLSR,ShEMO,25,11.704810608178377,38.29824215399445,"[ 3.22580338  0.13440847  1.47849917 -0.80645382  1.47849619 -0.13440847
  0.40322542  0.13440847 -0.26881695  0.13440847 -0.5376339   0.40322542
  0.13440847  1.20967627 -1.34408474  0.94085932 -0.5376339  -0.13440847
 -0.13440847 -1.07527077  1.74731314 -7.25806355 -3.09140086 -3.76344025]","[0.03800279 0.03907222 0.03909606 0.03973459 0.0398066  0.04028777
 0.04146341 0.04185633 0.04189014 0.04206811 0.04210094 0.04203109
 0.04228881 0.04255184 0.04284973 0.04321507 0.0435434  0.04397423
 0.04425793 0.04483877 0.04598402 0.04572798 0.0244564  0.02443186
 0.02446991]"
55,WAV2VEC2_LARGE_XLSR300M,ShEMO,25,13.708684655837715,2.5714293067553795,"[ 5.24193347  0.13440847 -0.26881993  0.4032284   1.34408772 -0.5376339
  0.          0.67204237  0.          0.          0.26881695 -0.80645084
  0.67204237  0.5376339  -0.67204237  0.40322542  0.94085932 -0.13440847
 -0.40322542 -0.5376339   1.07526779  0.67204237 -1.20967627 -0.26881695]","[0.01588289 0.01292453 0.01427724 0.01403979 0.01774318 0.02443115
 0.0297264  0.03029899 0.03977569 0.05125809 0.05064122 0.04185001
 0.04635523 0.05198423 0.05454611 0.04992189 0.05542647 0.07569574
 0.10222953 0.08787368 0.03848815 0.03840577 0.01973049 0.01889807
 0.01759546]"
