
--------------------------------------------------
Multilingual SER System v1.5
--------------------------------------------------
Run Name      : Run2
Fx Model      : WAV2VEC2_ASR_LARGE_960H
Clf Model     : CM_PROBING_LINEAR
Extract Mode  : gpu_memory
Dataset       : AESDD
Device        : gpu
Epochs        : 30
Num Workers   : 3
Data Dir      : ./data
History Dir   : ./history
Weights Dir   : ./weights
Log Level     : debug
Purge Cache   : False
Job Name      : Job47
Job Id        : 31668393
GPU           : Quadro RTX 8000
GPU Count     : 1
GPU Memory    : 44.49 GB

Timestamp : 2023-04-06 02:19:39.000353

INFO >> Running on CUDA


INFO >> Training Classifier

INFO >> Epoch: 1  |  Layer: 01  |  Train Loss: 1.612 | Train Acc: 23.15  |  Val Loss: 1.569 | Val Acc: 36.36  |  Test Loss: 1.586 | Tes Acc: 23.67
INFO >> Epoch: 1  |  Layer: 02  |  Train Loss: 1.615 | Train Acc: 21.81  |  Val Loss: 1.593 | Val Acc: 25.25  |  Test Loss: 1.596 | Tes Acc: 21.74
INFO >> Epoch: 1  |  Layer: 03  |  Train Loss: 1.618 | Train Acc: 19.46  |  Val Loss: 1.583 | Val Acc: 26.26  |  Test Loss: 1.600 | Tes Acc: 23.19
INFO >> Epoch: 1  |  Layer: 04  |  Train Loss: 1.615 | Train Acc: 23.15  |  Val Loss: 1.584 | Val Acc: 31.31  |  Test Loss: 1.599 | Tes Acc: 23.19
INFO >> Epoch: 1  |  Layer: 05  |  Train Loss: 1.608 | Train Acc: 24.83  |  Val Loss: 1.575 | Val Acc: 30.30  |  Test Loss: 1.587 | Tes Acc: 27.05
INFO >> Epoch: 1  |  Layer: 06  |  Train Loss: 1.614 | Train Acc: 23.49  |  Val Loss: 1.581 | Val Acc: 42.42  |  Test Loss: 1.589 | Tes Acc: 23.67
INFO >> Epoch: 1  |  Layer: 07  |  Train Loss: 1.612 | Train Acc: 22.15  |  Val Loss: 1.570 | Val Acc: 35.35  |  Test Loss: 1.586 | Tes Acc: 27.05
INFO >> Epoch: 1  |  Layer: 08  |  Train Loss: 1.611 | Train Acc: 22.48  |  Val Loss: 1.575 | Val Acc: 34.34  |  Test Loss: 1.589 | Tes Acc: 25.60
INFO >> Epoch: 1  |  Layer: 09  |  Train Loss: 1.621 | Train Acc: 20.81  |  Val Loss: 1.583 | Val Acc: 24.24  |  Test Loss: 1.594 | Tes Acc: 21.74
INFO >> Epoch: 1  |  Layer: 10  |  Train Loss: 1.608 | Train Acc: 23.83  |  Val Loss: 1.579 | Val Acc: 49.49  |  Test Loss: 1.588 | Tes Acc: 28.99
INFO >> Epoch: 1  |  Layer: 11  |  Train Loss: 1.612 | Train Acc: 25.50  |  Val Loss: 1.576 | Val Acc: 29.29  |  Test Loss: 1.589 | Tes Acc: 21.26
