
--------------------------------------------------
Multilingual SER System v1.5
--------------------------------------------------
Run Name      : Run1
Fx Model      : HUBERT_BASE
Clf Model     : CM_PROBING_DENSE
Extract Mode  : gpu_memory
Dataset       : AESDD
Device        : gpu
Epochs        : 30
Num Workers   : 3
Data Dir      : ./data
History Dir   : ./history
Weights Dir   : ./weights
Log Level     : debug
Purge Cache   : False
Job Name      : Job87
Job Id        : 31668433
GPU           : Quadro RTX 8000
GPU Count     : 1
GPU Memory    : 44.49 GB

Timestamp : 2023-04-06 07:37:51.723945

INFO >> Running on CUDA


INFO >> Training Classifier

INFO >> Epoch: 1  |  Layer: 01  |  Train Loss: 1.654 | Train Acc: 21.14  |  Val Loss: 1.613 | Val Acc: 22.22  |  Test Loss: 1.617 | Tes Acc: 25.12
INFO >> Epoch: 1  |  Layer: 02  |  Train Loss: 1.639 | Train Acc: 18.12  |  Val Loss: 1.610 | Val Acc: 21.21  |  Test Loss: 1.599 | Tes Acc: 25.12
INFO >> Epoch: 1  |  Layer: 03  |  Train Loss: 1.637 | Train Acc: 22.48  |  Val Loss: 1.606 | Val Acc: 20.20  |  Test Loss: 1.601 | Tes Acc: 25.60
INFO >> Epoch: 1  |  Layer: 04  |  Train Loss: 1.636 | Train Acc: 18.79  |  Val Loss: 1.609 | Val Acc: 20.20  |  Test Loss: 1.605 | Tes Acc: 20.77
INFO >> Epoch: 1  |  Layer: 05  |  Train Loss: 1.637 | Train Acc: 20.13  |  Val Loss: 1.609 | Val Acc: 20.20  |  Test Loss: 1.607 | Tes Acc: 20.29
INFO >> Epoch: 1  |  Layer: 06  |  Train Loss: 1.629 | Train Acc: 20.47  |  Val Loss: 1.609 | Val Acc: 28.28  |  Test Loss: 1.604 | Tes Acc: 27.05
INFO >> Epoch: 1  |  Layer: 07  |  Train Loss: 1.630 | Train Acc: 23.15  |  Val Loss: 1.604 | Val Acc: 20.20  |  Test Loss: 1.605 | Tes Acc: 24.64
INFO >> Epoch: 1  |  Layer: 08  |  Train Loss: 1.626 | Train Acc: 22.15  |  Val Loss: 1.607 | Val Acc: 20.20  |  Test Loss: 1.604 | Tes Acc: 28.02
INFO >> Epoch: 1  |  Layer: 09  |  Train Loss: 1.627 | Train Acc: 21.81  |  Val Loss: 1.608 | Val Acc: 20.20  |  Test Loss: 1.604 | Tes Acc: 24.64
INFO >> Epoch: 1  |  Layer: 10  |  Train Loss: 1.624 | Train Acc: 20.47  |  Val Loss: 1.603 | Val Acc: 22.22  |  Test Loss: 1.604 | Tes Acc: 27.05
INFO >> Epoch: 1  |  Layer: 11  |  Train Loss: 1.624 | Train Acc: 18.79  |  Val Loss: 1.605 | Val Acc: 31.31  |  Test Loss: 1.604 | Tes Acc: 24.64
INFO >> Epoch: 1  |  Layer: 12  |  Train Loss: 1.621 | Train Acc: 19.80  |  Val Loss: 1.606 | Val Acc: 26.26  |  Test Loss: 1.604 | Tes Acc: 28.50
INFO >> Epoch: 1  |  Layer: 13  |  Train Loss: 1.625 | Train Acc: 19.80  |  Val Loss: 1.604 | Val Acc: 26.26  |  Test Loss: 1.605 | Tes Acc: 27.05

INFO >> Epoch: 2  |  Layer: 01  |  Train Loss: 1.621 | Train Acc: 22.15  |  Val Loss: 1.593 | Val Acc: 37.37  |  Test Loss: 1.590 | Tes Acc: 25.12
INFO >> Epoch: 2  |  Layer: 02  |  Train Loss: 1.597 | Train Acc: 27.52  |  Val Loss: 1.601 | Val Acc: 38.38  |  Test Loss: 1.578 | Tes Acc: 27.05
INFO >> Epoch: 2  |  Layer: 03  |  Train Loss: 1.599 | Train Acc: 26.17  |  Val Loss: 1.603 | Val Acc: 34.34  |  Test Loss: 1.585 | Tes Acc: 31.40
INFO >> Epoch: 2  |  Layer: 04  |  Train Loss: 1.603 | Train Acc: 24.83  |  Val Loss: 1.605 | Val Acc: 34.34  |  Test Loss: 1.594 | Tes Acc: 28.02
INFO >> Epoch: 2  |  Layer: 05  |  Train Loss: 1.603 | Train Acc: 20.81  |  Val Loss: 1.605 | Val Acc: 31.31  |  Test Loss: 1.597 | Tes Acc: 23.19
INFO >> Epoch: 2  |  Layer: 06  |  Train Loss: 1.601 | Train Acc: 26.85  |  Val Loss: 1.598 | Val Acc: 27.27  |  Test Loss: 1.592 | Tes Acc: 27.05
INFO >> Epoch: 2  |  Layer: 07  |  Train Loss: 1.602 | Train Acc: 25.17  |  Val Loss: 1.599 | Val Acc: 31.31  |  Test Loss: 1.593 | Tes Acc: 28.99
INFO >> Epoch: 2  |  Layer: 08  |  Train Loss: 1.601 | Train Acc: 25.84  |  Val Loss: 1.598 | Val Acc: 31.31  |  Test Loss: 1.591 | Tes Acc: 23.67
INFO >> Epoch: 2  |  Layer: 09  |  Train Loss: 1.599 | Train Acc: 26.51  |  Val Loss: 1.604 | Val Acc: 20.20  |  Test Loss: 1.591 | Tes Acc: 28.02
INFO >> Epoch: 2  |  Layer: 10  |  Train Loss: 1.600 | Train Acc: 24.16  |  Val Loss: 1.594 | Val Acc: 32.32  |  Test Loss: 1.590 | Tes Acc: 24.64
INFO >> Epoch: 2  |  Layer: 11  |  Train Loss: 1.601 | Train Acc: 26.51  |  Val Loss: 1.598 | Val Acc: 26.26  |  Test Loss: 1.593 | Tes Acc: 27.05
INFO >> Epoch: 2  |  Layer: 12  |  Train Loss: 1.598 | Train Acc: 30.87  |  Val Loss: 1.592 | Val Acc: 29.29  |  Test Loss: 1.588 | Tes Acc: 26.57
INFO >> Epoch: 2  |  Layer: 13  |  Train Loss: 1.602 | Train Acc: 28.86  |  Val Loss: 1.597 | Val Acc: 36.36  |  Test Loss: 1.595 | Tes Acc: 36.71

INFO >> Epoch: 3  |  Layer: 01  |  Train Loss: 1.578 | Train Acc: 30.87  |  Val Loss: 1.600 | Val Acc: 22.22  |  Test Loss: 1.575 | Tes Acc: 24.64
INFO >> Epoch: 3  |  Layer: 02  |  Train Loss: 1.552 | Train Acc: 29.87  |  Val Loss: 1.578 | Val Acc: 25.25  |  Test Loss: 1.553 | Tes Acc: 28.99
INFO >> Epoch: 3  |  Layer: 03  |  Train Loss: 1.568 | Train Acc: 35.57  |  Val Loss: 1.608 | Val Acc: 23.23  |  Test Loss: 1.559 | Tes Acc: 26.09
INFO >> Epoch: 3  |  Layer: 04  |  Train Loss: 1.581 | Train Acc: 33.56  |  Val Loss: 1.604 | Val Acc: 21.21  |  Test Loss: 1.573 | Tes Acc: 35.27
INFO >> Epoch: 3  |  Layer: 05  |  Train Loss: 1.583 | Train Acc: 34.23  |  Val Loss: 1.581 | Val Acc: 22.22  |  Test Loss: 1.574 | Tes Acc: 27.05
