,dataset,model,mean_accuracy,std_accuracy
0,RAVDESS,WAV2VEC2_LARGE_XLSR300M,"[51.66666627 52.06666648 57.99999952 62.53333211 66.93333387 63.73333335
 64.9333334  67.80000091 68.20000052 69.33333278 67.6666677  65.73333383
 65.46666741 64.60000157 66.00000024 68.80000114 69.53333378 72.79999971
 70.0666666  58.60000014 60.19999981 44.33333278 32.6000002  31.20000064]","[1.28235957 2.55951462 3.00370054 3.51251628 1.85472382 1.51143796
 4.46915376 3.4032669  1.6275392  3.11269861 3.3862471  1.49666429
 2.56991152 3.31595436 1.39841331 2.22710533 2.00665554 2.09337642
 2.01549495 3.60493414 1.89267628 2.72437559 6.65131523 4.88808081]"
1,AESDD,WAV2VEC2_LARGE_XLSR300M,"[46.4734304  54.00966048 54.68598962 58.55072498 66.37681127 67.43961453
 67.53623366 68.40579748 68.59903336 65.89372039 67.82608747 68.11594129
 69.2753613  67.14975834 72.07729459 73.42995048 76.3285017  71.20772958
 68.30917954 60.96618295 68.40579748 43.9613533  27.34299451 26.4734304 ]","[3.46211977 1.76576513 2.10353075 1.94200516 5.65527007 3.64854288
 2.98423991 4.27310949 2.02668233 3.87197484 0.8423003  2.22432153
 2.33888226 4.84057066 4.57689648 1.33179241 1.25974835 3.22769043
 4.57893545 4.03490058 4.17364374 7.15237029 6.01522036 3.03079964]"
2,EMOVO,WAV2VEC2_LARGE_XLSR300M,"[23.97959173 24.3877548  19.08163279 25.         30.51020503 28.06122422
 31.02040827 32.95918286 36.73469365 35.         32.85714269 30.51020354
 25.40816337 33.67346883 34.79591846 33.87755096 38.46938789 37.44897962
 31.93877578 22.65306085 25.3061226  17.55102038 16.22449011 19.59183693]","[2.16461206 1.56092414 2.8241536  1.44307438 2.19802654 2.86805487
 3.11851186 3.23648015 3.72134381 4.60429229 3.25252554 6.59249955
 5.50831409 3.92558888 2.609533   4.74901072 4.43143892 2.55306098
 4.63808903 2.53258651 5.28843221 3.68761474 2.62940783 1.78498555]"
3,EmoDB,WAV2VEC2_LARGE_XLSR300M,"[81.66666746 83.80952477 85.         88.80952358 91.90476179 90.9523809
 90.00000119 91.42857194 91.19047642 92.14285612 91.42857194 91.42857075
 92.61904716 91.19047642 92.61904716 92.85714269 95.47618985 96.19047761
 92.38095164 84.52380896 85.71428657 60.71428776 47.38095224 48.33333313]","[2.67261327 1.42857035 2.20800382 2.33284797 2.65131706 2.56436304
 1.61484011 1.16642362 3.15868982 1.61483994 3.71916667 2.54215983
 1.38832088 1.21405208 1.57934468 2.25876994 2.04817318 0.47619104
 2.451341   2.6082025  3.53152207 4.64133036 5.39799187 3.65768839]"
4,ShEMO,WAV2VEC2_LARGE_XLSR300M,"[86.12903357 87.68817186 88.5483861  89.51612949 90.10752559 89.62365389
 91.0215044  91.34408832 90.75268745 91.77419543 90.80645204 90.69892526
 91.18279576 91.4516151  90.32258034 91.34408832 91.9892478  90.86021543
 90.80645084 89.78494525 88.76343966 85.86021543 79.78494644 80.16129136]","[1.09656229 1.33220429 0.64962551 1.39163337 0.66718794 0.55352797
 0.52677441 0.39507861 0.36464351 0.43677584 0.57403849 0.80824367
 0.64516286 0.26338574 1.28358533 0.5212554  0.7864927  0.77910759
 0.98256454 0.85007571 0.7292821  0.97072539 1.53390777 1.24238806]"
5,CaFE,WAV2VEC2_LARGE_XLSR300M,"[51.79487348 53.24786365 55.55555701 53.16239357 57.60683835 56.23931646
 58.20512891 60.427351   62.30769396 64.35897589 58.46153975 60.00000238
 60.59829116 59.48718071 60.25641084 65.55555582 71.02564096 67.17948675
 63.41880441 49.57265019 51.96581244 21.79487228 22.05128223 20.17094046]","[3.27027927 2.42650699 3.83188239 4.72487981 8.3104     3.62215695
 6.14790881 5.16086422 1.75993592 3.14734195 3.16816365 2.98044354
 3.71966817 2.74836431 5.65008232 5.01731824 4.36985374 2.94096493
 5.28672487 5.46607829 5.41640295 3.37579818 2.8933863  1.33508534]"
6,IEMOCAP,WAV2VEC2_LARGE_XLSR300M,"[57.1122992  58.32441926 60.9803915  60.08912683 63.44028592 63.52941155
 63.6541903  63.42245936 62.19251513 62.40641713 61.15864635 62.62032032
 63.04812908 62.56684542 61.30124688 62.21033812 63.404634   64.75935698
 63.10160398 59.67914462 59.03743267 53.72548938 49.67914343 49.0730834 ]","[1.48111073 1.75251078 1.27721723 1.72583522 1.49073321 1.45076623
 0.72054799 0.82767892 1.74960766 1.32843394 1.94320409 1.33463823
 0.81802459 0.41036943 2.39045375 1.90155219 2.4921033  1.10832818
 0.90716666 0.95427937 2.19953038 1.73135082 1.84610335 0.85226651]"
7,RAVDESS,WAV2VEC2_LARGE,"[56.26666665 55.73333263 58.33333254 60.200001   62.19999909 64.00000095
 64.19999957 66.20000005 67.6000011  68.73333454 70.59999943 69.66666579
 67.80000091 66.93333507 66.80000186 63.79999995 66.20000124 63.93333316
 61.46666646 58.33333373 54.33333516 46.99999988 28.73333335 21.33333355]","[1.27191772 1.76886671 1.24722017 2.85657096 2.24697318 1.69967412
 1.84511372 2.05047461 1.12348556 2.37018473 0.92856013 1.09544407
 0.88443243 0.67986862 0.58118597 1.34329708 0.8589403  1.59722032
 1.90438148 1.80123485 0.8164958  1.61932776 1.1035295  1.65998671]"
8,AESDD,WAV2VEC2_LARGE,"[51.59420252 60.77294827 63.18840742 58.84057879 66.37681127 64.92753625
 64.15458918 65.8937192  65.603863   61.35265708 67.24637747 64.15458798
 69.37198043 70.62801838 69.17874455 66.85990334 66.4734304  67.9227066
 70.62801838 63.86473417 63.18840504 54.87922668 39.80676353 40.57971001]","[3.09178732 2.48968109 2.58171751 4.73725706 2.74300827 2.25764785
 3.63315796 1.24484013 3.04616045 3.98367738 3.13674934 3.55524034
 2.35875548 2.54530231 1.56986168 3.53152921 2.41738959 2.56721331
 2.21169442 1.86851165 1.50922767 2.62119013 2.21591225 0.52920041]"
9,EMOVO,WAV2VEC2_LARGE,"[26.83673441 23.26530635 29.0816319  31.02040827 32.65306056 36.53061271
 37.34693885 39.89795864 40.81632674 40.20408154 40.3061223  35.20408094
 35.3061223  35.71428597 37.95918405 43.36734712 39.38775539 38.36734712
 29.69387829 31.42857134 29.28571403 26.42857164 19.48979586 18.57142866]","[1.53400978 1.14540547 2.60154073 1.34601017 1.47871121 0.69207416
 4.0483332  0.74984417 1.44307564 1.38414972 1.16344506 3.00977155
 1.80816792 4.43613568 3.54362396 3.57870986 2.46592776 2.31342511
 4.64706062 1.84239403 3.20414641 2.52847223 6.48099783 1.39165129]"
