,dataset,model,max_acuracy,mean_accuracy,std_accuracy,probing_max_acc,probing_top_3,probing_top_layers
0,AESDD,HUBERT_BASE,61.35265827178955,59.03381705284119,1.3105950877046915,67.8260862827301,65.7 (2.12),[5 7 6]
1,AESDD,HUBERT_LARGE,72.46376872062683,63.09178829193115,7.835028109857164,68.6956512928009,68.28 (0.3),[19 10 13]
2,AESDD,WAV2VEC2_BASE,62.31883764266968,59.90338206291199,2.3862957029576983,64.54106330871582,62.54 (2.56),[3 5 4]
3,AESDD,WAV2VEC2_LARGE,75.84540843963623,63.96135210990906,6.413304678209006,70.62801837921143,70.21 (0.59),[13 19 14]
4,AESDD,WAV2VEC2_LARGE_XLSR,65.70048332214355,52.946860790252686,11.31961515929369,75.16908288002014,74.52 (0.48),[11 15 10]
5,AESDD,WAV2VEC2_LARGE_XLSR300M,74.39613342285156,64.15458917617798,5.269022918494694,76.32850170135498,73.95 (1.77),[15 16 17]
6,CaFE,HUBERT_BASE,72.22222089767456,69.65811967849731,2.076060793517226,65.29914498329163,63.13 (2.03),[ 8  7 10]
7,CaFE,HUBERT_LARGE,79.05982732772827,74.44444417953491,4.613801819532358,71.70940160751343,69.54 (1.55),[10  7 12]
8,CaFE,WAV2VEC2_BASE,72.22222089767456,64.18803572654724,7.540766436893389,61.538461446762085,59.74 (1.31),[6 7 5]
9,CaFE,WAV2VEC2_LARGE,80.7692289352417,73.5897445678711,3.7098335679731744,71.79487228393555,70.66 (0.83),[16 14 18]
10,CaFE,WAV2VEC2_LARGE_XLSR,73.50427508354187,55.81196665763855,15.103316095269316,74.61538434028625,74.42 (0.15),[17 10 18]
11,CaFE,WAV2VEC2_LARGE_XLSR300M,84.18803215026855,77.6068377494812,3.884894032557634,71.02564096450806,67.92 (2.29),[16 18 17]
12,EMOVO,HUBERT_BASE,35.71428656578064,32.55102097988129,2.6095332318593583,37.95918345451355,36.94 (0.98),[7 8 6]
13,EMOVO,HUBERT_LARGE,48.469388484954834,43.571428656578064,5.18905468164029,40.81632673740387,40.41 (0.33),[12 13 11]
14,EMOVO,WAV2VEC2_BASE,35.20408272743225,30.0,3.168199499401828,39.387754797935486,37.04 (1.66),[8 4 5]
15,EMOVO,WAV2VEC2_LARGE,42.85714328289032,38.26530635356903,4.96761669004872,43.36734712123871,41.5 (1.34),[11  9 16]
16,EMOVO,WAV2VEC2_LARGE_XLSR,38.77550959587097,32.24489748477936,7.005976970873609,53.16326379776001,49.18 (2.83),[18 16 17]
17,EMOVO,WAV2VEC2_LARGE_XLSR300M,42.85714328289032,31.428571343421936,7.044512840843109,38.469387888908386,37.55 (0.71),[ 9 18 17]
18,EmoDB,HUBERT_BASE,92.85714030265808,87.61904716491699,3.809522315859864,91.1904764175415,89.29 (1.35),[10  5  7]
19,EmoDB,HUBERT_LARGE,97.6190447807312,94.52380895614624,3.067642972545328,96.1904764175415,96.19 (0.0),[10 12 11]
20,EmoDB,WAV2VEC2_BASE,91.66666865348816,86.42857193946838,3.417309716357332,86.90476059913635,86.11 (0.96),[6 3 5]
21,EmoDB,WAV2VEC2_LARGE,95.23809552192688,91.66666626930237,2.7147040154355415,96.42857193946838,94.76 (1.59),[7 9 8]
22,EmoDB,WAV2VEC2_LARGE_XLSR,98.8095223903656,86.1904764175415,13.606887774664516,99.28571343421936,99.05 (0.34),[10 17 18]
23,EmoDB,WAV2VEC2_LARGE_XLSR300M,97.6190447807312,91.42856955528259,4.84452115705621,96.1904776096344,94.84 (1.43),[16 17 18]
24,IEMOCAP,HUBERT_BASE,68.09269189834595,66.23885989189148,1.0566661193591942,62.53119468688965,62.2 (0.23),[ 6  8 10]
25,IEMOCAP,HUBERT_LARGE,70.85561752319336,69.82174873352051,1.0822185252027718,64.61675524711609,63.99 (0.52),[21  9 11]
26,IEMOCAP,WAV2VEC2_BASE,65.6862735748291,64.09982204437256,1.1734941883204257,62.10338592529297,61.47 (0.58),[8 5 6]
27,IEMOCAP,WAV2VEC2_LARGE,68.0035650730133,66.70231819152832,1.3081880040778402,62.352941036224365,62.12 (0.3),[19  9 10]
28,IEMOCAP,WAV2VEC2_LARGE_XLSR,69.07308101654053,66.77361845970154,1.6591900562730728,66.04278087615967,65.9 (0.12),[7 6 9]
29,IEMOCAP,WAV2VEC2_LARGE_XLSR300M,71.1229920387268,69.16221022605896,1.1174628201796493,64.75935697555542,63.98 (0.55),[ 6  7 18]
30,RAVDESS,HUBERT_BASE,61.666667461395264,58.733333349227905,2.2449948752730933,64.19999957084656,63.56 (0.61),[4 7 6]
31,RAVDESS,HUBERT_LARGE,74.00000095367432,69.60000038146973,3.0066581528317684,67.66666769981384,66.69 (0.69),[13 17 12]
32,RAVDESS,WAV2VEC2_BASE,64.66666460037231,58.999998569488525,4.366539551192883,60.666667222976685,60.4 (0.22),[6 7 5]
33,RAVDESS,WAV2VEC2_LARGE,68.00000071525574,64.40000057220459,2.653299638192951,70.59999942779541,69.67 (0.76),[10 12 11]
34,RAVDESS,WAV2VEC2_LARGE_XLSR,75.66666603088379,61.666667461395264,7.7028124412488195,70.6666648387909,70.58 (0.08),[10  8  6]
35,RAVDESS,WAV2VEC2_LARGE_XLSR300M,76.33333206176758,70.73333263397217,5.567364327080956,72.7999997138977,70.8 (1.43),[17 19 18]
36,ShEMO,HUBERT_BASE,90.59139490127563,89.35483694076538,0.9707232723779408,89.62365388870239,89.48 (0.11),[10  7  4]
37,ShEMO,HUBERT_LARGE,91.93548560142517,91.55914187431335,0.40232836757541834,91.29032254219055,91.0 (0.37),[11 10 12]
