
--------------------------------------------------
Multilingual SER System v1.5
--------------------------------------------------
Run Name      : Run5
Fx Model      : WAV2VEC2_ASR_LARGE_960H
Clf Model     : PROBING
Extract Mode  : gpu_memory
Dataset       : IEMOCAP
Device        : gpu
Epochs        : 30
Num Workers   : 3
Data Dir      : ./data
History Dir   : ./history
Weights Dir   : ./weights
Log Level     : debug
Purge Cache   : False
Job Name      : Job65
Job Id        : 31168386
GPU           : Quadro RTX 8000
GPU Count     : 1
GPU Memory    : 44.49 GB

Timestamp : 2023-03-19 21:34:49.512039

INFO >> Running on CUDA


INFO >> Training Classifier

INFO >> Epoch: 1  |  Layer:  1  |  Train Loss: 1.262 | Train Acc: 41.02  |  Val Loss: 1.165 | Val Acc: 42.17  |  Test Loss: 1.214 | Tes Acc: 38.24
INFO >> Epoch: 1  |  Layer:  2  |  Train Loss: 1.221 | Train Acc: 42.25  |  Val Loss: 1.100 | Val Acc: 46.89  |  Test Loss: 1.145 | Tes Acc: 48.22
INFO >> Epoch: 1  |  Layer:  3  |  Train Loss: 1.205 | Train Acc: 43.60  |  Val Loss: 1.093 | Val Acc: 47.49  |  Test Loss: 1.134 | Tes Acc: 46.88
INFO >> Epoch: 1  |  Layer:  4  |  Train Loss: 1.208 | Train Acc: 44.21  |  Val Loss: 1.094 | Val Acc: 45.28  |  Test Loss: 1.158 | Tes Acc: 42.60
INFO >> Epoch: 1  |  Layer:  5  |  Train Loss: 1.183 | Train Acc: 45.62  |  Val Loss: 1.078 | Val Acc: 47.89  |  Test Loss: 1.147 | Tes Acc: 45.37
INFO >> Epoch: 1  |  Layer:  6  |  Train Loss: 1.159 | Train Acc: 48.34  |  Val Loss: 1.018 | Val Acc: 53.51  |  Test Loss: 1.072 | Tes Acc: 53.21
INFO >> Epoch: 1  |  Layer:  7  |  Train Loss: 1.184 | Train Acc: 47.14  |  Val Loss: 1.052 | Val Acc: 48.49  |  Test Loss: 1.116 | Tes Acc: 47.33
INFO >> Epoch: 1  |  Layer:  8  |  Train Loss: 1.163 | Train Acc: 47.85  |  Val Loss: 1.047 | Val Acc: 50.80  |  Test Loss: 1.105 | Tes Acc: 49.38
INFO >> Epoch: 1  |  Layer:  9  |  Train Loss: 1.171 | Train Acc: 48.20  |  Val Loss: 1.043 | Val Acc: 52.51  |  Test Loss: 1.093 | Tes Acc: 52.32
INFO >> Epoch: 1  |  Layer: 10  |  Train Loss: 1.172 | Train Acc: 47.91  |  Val Loss: 1.076 | Val Acc: 51.10  |  Test Loss: 1.124 | Tes Acc: 49.29
INFO >> Epoch: 1  |  Layer: 11  |  Train Loss: 1.187 | Train Acc: 46.41  |  Val Loss: 1.082 | Val Acc: 49.90  |  Test Loss: 1.119 | Tes Acc: 50.45
INFO >> Epoch: 1  |  Layer: 12  |  Train Loss: 1.201 | Train Acc: 44.98  |  Val Loss: 1.088 | Val Acc: 49.50  |  Test Loss: 1.118 | Tes Acc: 49.11
INFO >> Epoch: 1  |  Layer: 13  |  Train Loss: 1.221 | Train Acc: 43.83  |  Val Loss: 1.086 | Val Acc: 49.80  |  Test Loss: 1.126 | Tes Acc: 45.72
INFO >> Epoch: 1  |  Layer: 14  |  Train Loss: 1.240 | Train Acc: 43.45  |  Val Loss: 1.108 | Val Acc: 49.60  |  Test Loss: 1.145 | Tes Acc: 47.15
INFO >> Epoch: 1  |  Layer: 15  |  Train Loss: 1.214 | Train Acc: 45.09  |  Val Loss: 1.123 | Val Acc: 45.78  |  Test Loss: 1.168 | Tes Acc: 43.67
INFO >> Epoch: 1  |  Layer: 16  |  Train Loss: 1.222 | Train Acc: 43.48  |  Val Loss: 1.118 | Val Acc: 46.99  |  Test Loss: 1.165 | Tes Acc: 42.60
INFO >> Epoch: 1  |  Layer: 17  |  Train Loss: 1.231 | Train Acc: 43.80  |  Val Loss: 1.151 | Val Acc: 44.58  |  Test Loss: 1.167 | Tes Acc: 43.40
INFO >> Epoch: 1  |  Layer: 18  |  Train Loss: 1.248 | Train Acc: 41.78  |  Val Loss: 1.180 | Val Acc: 42.67  |  Test Loss: 1.196 | Tes Acc: 40.11
INFO >> Epoch: 1  |  Layer: 19  |  Train Loss: 1.262 | Train Acc: 40.84  |  Val Loss: 1.202 | Val Acc: 39.76  |  Test Loss: 1.232 | Tes Acc: 34.40
INFO >> Epoch: 1  |  Layer: 20  |  Train Loss: 1.298 | Train Acc: 38.70  |  Val Loss: 1.252 | Val Acc: 37.15  |  Test Loss: 1.308 | Tes Acc: 28.43
INFO >> Epoch: 1  |  Layer: 21  |  Train Loss: 1.318 | Train Acc: 36.65  |  Val Loss: 1.290 | Val Acc: 33.63  |  Test Loss: 1.351 | Tes Acc: 27.27
INFO >> Epoch: 1  |  Layer: 22  |  Train Loss: 1.345 | Train Acc: 34.19  |  Val Loss: 1.363 | Val Acc: 33.23  |  Test Loss: 1.439 | Tes Acc: 25.76
INFO >> Epoch: 1  |  Layer: 23  |  Train Loss: 1.363 | Train Acc: 32.46  |  Val Loss: 1.374 | Val Acc: 33.13  |  Test Loss: 1.434 | Tes Acc: 25.40
INFO >> Epoch: 1  |  Layer: 24  |  Train Loss: 1.372 | Train Acc: 32.02  |  Val Loss: 1.389 | Val Acc: 32.13  |  Test Loss: 1.438 | Tes Acc: 25.94
INFO >> Epoch: 1  |  Layer: 25  |  Train Loss: 1.362 | Train Acc: 32.43  |  Val Loss: 1.348 | Val Acc: 32.83  |  Test Loss: 1.372 | Tes Acc: 29.32

INFO >> Epoch: 2  |  Layer:  1  |  Train Loss: 1.129 | Train Acc: 47.35  |  Val Loss: 1.075 | Val Acc: 51.10  |  Test Loss: 1.200 | Tes Acc: 43.49
