,dataset,model,mean_accuracy,std_accuracy
10,CaFE,WAV2VEC2_LARGE_XLSR,"[35.72649658 51.96581244 55.72649598 55.98290682 57.77778029 68.88888955
 74.70085502 71.79487228 71.02564216 70.08547068 75.81196547 70.34188032
 73.41880441 69.23076868 68.97436023 71.79487228 70.76923013 72.13675261
 70.68375945 67.52136707 59.05982971 63.41880322 15.6410262  15.38461596
 15.38461596]","[2.48598952 2.05128148 2.12131252 3.2093974  4.41144859 4.78479888
 2.82698093 3.75485232 6.95623639 5.72713319 5.77540037 2.84244285
 2.56979438 4.92473816 2.22222191 2.46236934 1.97877444 2.72165582
 8.2229147  2.80883292 3.75874186 4.72488046 0.51282048 0.
 0.        ]"
11,CaFE,WAV2VEC2_LARGE_XLSR300M,"[33.24786425 51.53846145 59.05982971 61.36752248 64.35897589 64.95726585
 66.15384698 64.18803453 66.0683763  64.27350402 67.69230843 67.09401727
 65.98290682 67.69230843 69.48717833 68.54700923 70.76923132 72.82051206
 75.04273534 69.23076987 56.66666627 61.2820518  24.7863254  19.40170974
 18.03418845]","[1.41478157 5.22417295 2.4083753  2.65645565 1.70083277 2.0760603
 3.98514298 4.76950713 1.72217363 2.38092089 1.7640827  2.71628202
 2.39621204 3.25011139 2.82956314 2.06901266 1.72217339 2.35003798
 1.03273773 3.57546956 3.47811773 4.63906457 4.18716231 2.84244242
 3.15661269]"
12,EMOVO,HUBERT_BASE,"[20.20408154 26.22448981 23.57142866 28.77551079 29.08163309 31.32652998
 35.91836691 34.79591846 36.93877518 36.22448981 32.24489808 35.3061229
 34.3877548 ]","[1.0505747  1.72566713 1.52720701 1.53401017 2.60154026 2.0812324
 3.57288658 1.34601162 2.61351994 1.8815396  3.31279298 2.52847155
 2.44897981]"
13,EMOVO,HUBERT_LARGE,"[22.32142873 23.72449003 27.55101994 30.86734712 29.71938774 31.76020384
 33.92857164 35.71428582 35.84183753 38.01020384 41.19898006 41.45408198
 45.53571418 39.79591876 39.5408161  33.2908161  34.31122527 30.99489808
 31.25       32.90816322 36.35204062 32.52551034 34.6938774  38.52040842
 32.39796013]","[5.08127193 1.63344981 2.4201104  1.11196349 2.61090423 2.20556227
 1.99241083 1.39725184 0.75460165 2.98589345 4.51141333 1.81732253
 3.11130461 5.03786181 4.411127   6.20034508 3.11130357 3.09031731
 3.66806253 5.00546342 1.66794643 4.73659311 2.67553278 2.53823317
 2.56374404]"
14,EMOVO,WAV2VEC2_BASE,"[26.42857134 27.85714328 25.91836721 33.67346942 34.3877548  39.89795923
 35.81632614 34.48979616 33.57142806 34.18367326 32.75510192 23.87755126
 22.55102038]","[2.244898   2.13067509 2.02545262 3.76307903 3.2364796  1.5939292
 2.10114937 0.76360446 1.34601135 1.51351058 1.34601125 5.29630194
 0.49989618]"
15,EMOVO,WAV2VEC2_LARGE,"[22.57653065 22.9591839  23.59693907 26.40306056 31.50510192 32.27040768
 34.43877473 36.8622452  40.81632644 40.81632644 38.39285672 41.7091839
 37.88265288 39.15816322 40.56122527 42.34693944 42.60204136 41.19897932
 36.35204062 30.35714254 31.37755096 29.71938774 27.55101994 21.30102031
 16.70918353]","[4.85867318 1.30077025 1.45988801 1.78115222 3.9417188  1.21675861
 2.75935032 2.70877116 1.1408518  1.80384444 1.10462371 1.26911715
 0.75460165 1.21675962 1.99241092 1.08230578 0.44184949 2.37601247
 2.37601211 2.35192437 1.7112757  1.98832388 1.1965347  1.50380424
 1.88758246]"
16,EMOVO,WAV2VEC2_LARGE_XLSR,"[20.40816337 27.85714298 31.63265288 30.306122   37.95918345 36.02040827
 39.28571463 45.20408094 45.61224461 43.26530576 33.87755036 37.55101979
 35.91836751 40.51020443 38.77551019 41.53061271 44.48979616 48.57142866
 43.97959173 45.51020443 34.59183633 31.12244844 15.9183678  15.10204136
 16.63265318]","[1.54752545 3.7436604  1.36902056 4.63808855 1.5340091  6.09346935
 3.54949595 6.07635682 5.2290314  6.24369783 5.08773481 6.54653645
 5.89368523 4.63808899 5.1224079  5.05694327 2.444724   3.69889095
 5.81184913 3.21711972 4.21219676 6.33146601 3.20089531 1.39165112
 3.40883516]"
17,EMOVO,WAV2VEC2_LARGE_XLSR300M,"[22.24489808 22.44897932 22.75510222 21.32653087 26.12244844 28.57142806
 30.10204107 28.36734712 32.44897962 40.20408154 37.14285731 37.55102038
 36.12244904 33.77551079 31.73469365 30.20408124 35.61224461 42.34693885
 42.65306115 34.28571343 21.93877548 23.97959232 21.22448951 16.73469394
 16.93877548]","[2.24953136 3.65072295 2.24953099 3.37506846 0.87778787 2.41472655
 4.38894173 0.9462885  2.08123254 2.17421209 2.31342421 3.4543491
 1.62626313 4.87665504 2.6294085  3.99656228 3.26530602 3.44529497
 4.75996054 1.34601125 3.095051   4.43613609 3.13848059 3.08494211
 3.43621635]"
18,EmoDB,HUBERT_BASE,"[59.0476191  72.38095164 81.42857194 84.28571463 85.95238328 89.0476191
 88.33333373 93.57142806 90.9523809  88.09523702 92.85714149 86.90476179
 85.9523809 ]","[3.88321474 2.04817263 3.33333152 2.5421624  1.90476179 1.5793454
 2.18217864 1.21405184 1.93429526 0.75292227 1.30410071 1.68358705
 1.5793454 ]"
19,EmoDB,HUBERT_LARGE,"[56.66666687 73.09523821 81.19047642 88.57142925 87.38095284 89.52381015
 92.14285731 91.90476298 94.28571463 95.71428537 95.71428537 96.9047606
 97.38095045 95.         94.52380896 93.80952477 92.61904716 93.57142687
 91.66666508 90.9523809  91.42856956 93.09523821 88.09523702 92.14285731
 86.9047606 ]","[6.09821406 5.19462505 2.54216016 2.45134065 2.20800434 2.18217942
 1.93429482 3.14069121 1.74963583 1.93429526 1.21405184 1.93429438
 0.47618866 1.90476045 2.67261242 1.90476149 2.3084189  0.95238209
 3.61089266 2.67261157 2.3084189  1.38832108 1.84427767 1.78174119
 3.36717453]"
