,dataset,model,max_accuracy,mean_accuracy,std_accuracy
15,EMOVO,WAV2VEC2_LARGE,50.51020383834839,"[21.83673471 28.46938789 30.10204136 35.61224461 33.67346942 32.85714298
 37.85714269 41.93877578 43.46938789 43.06122541 42.85714269 45.81632674
 35.40816367 41.12244904 41.02040827 44.18367386 48.06122482 48.16326559
 45.51020324 37.44898021 27.75510222 26.53061241 27.24489808 23.06122482
 18.36734682]","[3.54068355 1.38414955 1.51350917 3.55535707 5.91484714 7.00002921
 3.29703986 3.46638564 1.52720637 4.0892788  3.11182636 2.98196805
 6.58617906 2.86078478 6.06778367 7.01488877 1.68907601 1.63265329
 0.59499481 4.01216418 3.42407388 3.43015023 3.94675112 2.62940783
 1.88153935]"
16,EMOVO,WAV2VEC2_LARGE_XLSR,61.73469424247742,"[22.24489838 31.83673501 33.36734772 37.14285731 36.32653058 39.18367445
 43.46938729 49.48979616 46.12244844 53.46938729 51.63265407 52.14285612
 50.61224401 51.63265169 52.75510192 56.32653117 55.9183681  52.04081595
 48.16326499 44.79591727 39.28571403 32.34693885 12.34693855 10.20408183
 10.61224505]","[1.31470388 2.55306022 4.53594114 4.02253119 4.08673166 2.68815114
 5.11630636 1.96279336 4.60429146 4.33403298 5.08568921 2.70744752
 3.91762246 3.29703905 3.43924469 3.48436254 3.00284573 6.02818556
 3.67346878 6.76400503 3.9782835  4.34842348 3.64215659 1.29072549
 1.38414898]"
17,EMOVO,WAV2VEC2_LARGE_XLSR300M,69.89796161651611,"[23.87755066 22.34693885 30.51020414 26.83673531 29.59183693 38.26530635
 45.81632614 40.10204136 43.7755096  48.06122363 45.6122452  44.18367386
 50.20408094 44.08163309 50.3061235  44.59183693 46.42857134 50.51020384
 53.87755036 46.32653058 33.77551019 27.04081565 24.28571433 17.44897962
 16.53061226]","[ 3.54068348  2.82046397  5.12647186  7.6469362   8.16326536  3.80435779
  7.67276339  6.97021658  6.15129183  4.88731745  5.29826706  4.05090494
  9.11881768  9.51007323 10.88828649  5.76869088  9.06384479  5.3898422
  2.22626847  3.03389128  2.22158594  3.04417003  3.36270571  1.80816763
  3.23648005]"
18,EmoDB,HUBERT_BASE,96.42857313156128,"[65.23809433 80.47619224 84.76190567 85.23809552 94.52381015 93.33333254
 88.57142806 92.38095164 92.85714149 92.14285731 92.61904836 89.0476191
 85.9523809 ]","[1.57934504 2.33284797 1.90476254 2.67261242 1.78174183 1.61484029
 0.95238    0.58320962 1.30410071 0.58320962 1.38832108 2.04817318
 2.04817318]"
19,EmoDB,HUBERT_LARGE,100.0,"[62.14285851 73.57142687 84.52381015 87.14285612 89.28571463 89.0476203
 94.99999881 95.9523809  95.95238209 96.19047642 97.85714149 97.61904716
 97.61904716 97.14285612 96.90476179 96.90476298 96.9047606  94.76190448
 95.71428418 94.28571463 94.52380896 96.19047642 91.66666746 94.76190567
 94.76190448]","[3.48303281 3.22968128 2.12958909 2.30841903 3.61089344 1.90476149
 1.38832129 1.21405208 0.95238209 1.57934504 1.90476179 1.50584547
 1.50584547 1.21405114 1.21405114 1.61484011 0.95237941 0.95238209
 1.93429482 1.57934504 1.21405371 0.89086996 4.19209985 1.78174167
 0.58321254]"
20,EmoDB,WAV2VEC2_BASE,91.66666865348816,"[70.         84.28571463 86.42857194 89.28571463 81.66666746 85.47618985
 84.76190448 87.14285612 89.0476191  85.23809552 84.0476191  68.57142925
 72.85714149]","[5.75383112 1.16642289 3.4173093  2.25877057 6.50309627 1.74963583
 1.16642508 2.30841903 2.04817318 3.65768777 4.67782915 4.85621012
 3.71916667]"
21,EmoDB,WAV2VEC2_LARGE,98.8095223903656,"[74.52381015 85.47619104 86.90476179 87.38095284 84.0476203  90.23809433
 95.47618985 90.71428657 95.23809671 95.71428537 94.28571343 90.
 88.09523702 88.09523702 87.14285731 83.0952394  87.38095284 85.23809552
 86.66666508 85.9523809  88.33333373 81.19047642 71.19047642 46.42857075
 43.33333254]","[2.07566686 2.54216117 3.19438397 1.78174119 2.20800434 1.74963583
 1.16642289 2.30841804 1.84427767 1.61484011 1.38832353 2.45133996
 3.36717495 4.45435361 4.47973589 3.79461356 2.77664237 2.87691568
 2.3084189  2.65131535 1.38832108 3.22968049 3.22968075 5.97614233
 5.51230242]"
22,EmoDB,WAV2VEC2_LARGE_XLSR,100.0,"[69.52380896 86.90476179 88.09523821 92.61904836 95.47619104 95.47618866
 97.61904716 98.33333254 97.38095164 97.61904716 96.19047523 97.61904597
 97.14285731 97.61904716 98.33333135 95.71428418 98.33333254 99.76190448
 99.0476191  97.85714149 96.42857075 96.42857075 41.9047612  42.14285731
 34.76190478]","[2.45133996 2.38095284 1.68358705 1.38832108 0.89087187 1.90476149
 1.06479288 0.9523797  1.90476149 1.06479288 2.95468321 1.84427767
 0.95237941 1.30410071 0.58321254 1.61483958 1.21405184 0.47619104
 1.38832129 0.89086996 1.99204792 2.12958842 7.39246374 0.95238104
 8.76112812]"
23,EmoDB,WAV2VEC2_LARGE_XLSR300M,100.0,"[70.         81.66666746 88.33333254 90.         93.57142806 95.23809433
 96.66666508 97.61904716 97.61904716 95.23809552 96.66666627 95.
 97.61904597 95.23809552 95.95238209 96.66666508 96.90476179 96.42857194
 95.9523797  90.71428418 90.95238209 88.33333373 62.38095284 49.28571403
 52.61904836]","[3.86859066 1.21405208 1.57934504 4.16496413 2.45134135 2.91605831
 1.74963486 1.30410071 1.30410071 0.75292415 1.38832088 0.47619104
 1.84427767 1.06479554 0.58321254 2.42810485 1.61483958 2.91605831
 1.93429438 2.3084189  3.15869045 4.35134844 6.63256665 1.61484134
 3.04910781]"
24,IEMOCAP,HUBERT_BASE,69.16220784187317,"[59.35828924 61.69340491 63.72548938 66.1853838  67.61140704 67.34402776
 66.48841381 64.75935698 65.7219255  67.1122992  66.80926919 65.18716693
 64.81283426]","[1.88308176 1.89519074 1.31955354 1.19655546 1.33225614 0.45305738
 0.69037173 0.5123021  0.79836778 0.53772107 0.89233454 1.11119116
 0.72494415]"
